thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome_text.stopped,welcome.stopped,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,begin_end_run_cross.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,semantic_mapping_run.end_mapping.keys,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,task_break_text.started,task_break_resp.started,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,thanks.started,thanks_text.started,thanks_text.stopped,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0026767999997900915,0.016630199999781325,3.0176424000001134,3.000816499999928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2345,1,2025-05-12_13h58.25.708,sm,2024.2.4,59.98616718970231,2025-05-12 13h58.36.899473 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.000907100000404,3.0176424000001134,3.0176424000001134,96.18016700000044,space,93.15012120000029,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2345,1,2025-05-12_13h58.25.708,sm,2024.2.4,59.98616718970231,2025-05-12 13h58.36.899473 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.18022110000038,96.1935282000004,96.1935282000004,105.39435030000004,3,9.190362999999707,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2345,1,2025-05-12_13h58.25.708,sm,2024.2.4,59.98616718970231,2025-05-12 13h58.36.899473 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.3944535999999,105.40977600000042,105.40977600000042,115.44353420000061,3,10.01724809999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2345,1,2025-05-12_13h58.25.708,sm,2024.2.4,59.98616718970231,2025-05-12 13h58.36.899473 +0200,
0,0,0,Rose,Geruch,Dorn,Rot,2.1961,space,4.308449899999687,None,None,3,1.66931250000016,None,None,0,0,0,0,0,79,79,79,0,0,0,0,0,79,79,75,0,0,0,0,178.04071440000007,,,,,,,,,,,,,,,,,,,,,,,,,,,115.4439538000006,115.44433200000003,115.52043080000021,115.52067249999982,115.52520910000021,115.52556749999985,115.55955410000024,115.5599071000006,115.56689319999987,115.5707497000003,115.5707497000003,119.89339110000037,space,4.308449899999687,None,119.89347960000032,119.9099857000001,119.9099857000001,166.02550390000033,None,166.03374560000066,166.0405608000001,166.04110546666678,167.24828770000022,176.0407647666673,177.04742859999988,178.04071440000007,178.02465279999979,Schreibtisch,2.1961,178.0260570999999,178.02655030000005,178.02983380000023,178.04071440000007,180.23978119999992,180.22383679999984,180.22888580000017,180.23978119999992,180.23978119999992,180.23978119999992,180.23978119999992,182.22422900000038,3,1.66931250000016,None,None,,,,,,,,,,,,,,,,,,,,,,,2345,1,2025-05-12_13h58.25.708,sm,2024.2.4,59.98616718970231,2025-05-12 13h58.36.899473 +0200,
1,0,1,,,,,,space,4.308449899999687,None,None,3,1.4894242999998824,0.30109859999993205,None,0,0,0,0,,,,,0,0,0,0,,,,,1,0,1,0,182.24016260000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zimt,2.5519,182.2247041999999,182.22564330000023,182.22574540000005,182.24016260000008,184.80678799999987,184.79098440000053,184.79706330000045,184.80678799999987,184.80678799999987,184.80678799999987,184.80678799999987,186.79083080000055,3,1.4894242999998824,0.30109859999993205,None,186.8067748000003,186.8067748000003,186.8067748000003,186.8067748000003,,,,,,,,,,,,,,,,,,,2345,1,2025-05-12_13h58.25.708,sm,2024.2.4,59.98616718970231,2025-05-12 13h58.36.899473 +0200,
2,0,2,,,,,,space,4.308449899999687,None,None,2,1.3194564999994327,0.35401460000048246,None,0,0,0,0,,,,,0,0,0,0,,,,,2,0,2,0,186.8067748000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spion,3.8592,186.79124740000043,186.7917438000004,186.7918335000004,186.8067748000003,190.6733516000004,190.6572084999998,190.6614399,190.6733516000004,190.6733516000004,190.6733516000004,190.6733516000004,192.65712859999985,2,1.3194564999994327,0.35401460000048246,None,192.67290110000067,192.67290110000067,192.67290110000067,192.67290110000067,,,,,,,,,,,,,,,,,,,2345,1,2025-05-12_13h58.25.708,sm,2024.2.4,59.98616718970231,2025-05-12 13h58.36.899473 +0200,
3,0,3,,,,,,space,4.308449899999687,None,None,2,1.3055607000005693,0.3247230999995736,None,0,0,0,0,,,,,0,0,0,0,,,,,3,0,3,0,192.67290110000067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Afrika,3.9589,192.65759400000024,192.6581053,192.65819890000057,192.67290110000067,196.63979960000052,196.6232933000001,196.62692010000046,196.63979960000052,196.63979960000052,196.63979960000052,196.63979960000052,198.62316220000048,2,1.3055607000005693,0.3247230999995736,None,198.6387792000005,198.6387792000005,198.6387792000005,198.6387792000005,,,,,,,,,,,,,,,,,,,2345,1,2025-05-12_13h58.25.708,sm,2024.2.4,59.98616718970231,2025-05-12 13h58.36.899473 +0200,
4,0,4,,,,,,space,4.308449899999687,None,None,None,,,None,0,0,0,0,,,,,0,0,0,0,,,,,4,0,4,0,198.6387792000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tablett,2.0031,198.62351279999984,198.62398050000047,198.62405180000042,198.6387792000005,200.6559874000004,200.63903530000061,200.64115860000038,200.6559874000004,200.6559874000004,200.6559874000004,200.6559874000004,202.63921970000047,None,,,None,,,,,,,,,,,,,,,,,,,,,,,2345,1,2025-05-12_13h58.25.708,sm,2024.2.4,59.98616718970231,2025-05-12 13h58.36.899473 +0200,
5,0,5,,,,,,space,4.308449899999687,None,None,2,0.9871566000001621,0.2444273000000976,None,0,0,0,0,,,,,0,0,0,0,,,,,5,0,5,0,202.65684610000062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spinne,2.4916,202.63964680000026,202.64047540000047,202.64058320000004,202.65684610000062,205.1559459,205.13978120000047,205.14364340000066,205.1559459,205.1559459,205.1559459,205.1559459,207.13922319999983,2,0.9871566000001621,0.2444273000000976,None,207.15549610000016,207.15549610000016,207.15549610000016,207.15549610000016,,,,,,,,,,,,,,,,,,,2345,1,2025-05-12_13h58.25.708,sm,2024.2.4,59.98616718970231,2025-05-12 13h58.36.899473 +0200,
