guess_condition,thisN,thisTrialN,thisRepN,iti,cue,target,end_guess.keys,guess_reached.keys,end_encoding.keys,guess_reached.rt,guess_reached.duration,task_break_resp.keys,scanner_ready_press.keys,skip_trigger.keys,end_cued_recall.keys,recall_reached.keys,recall_reached.rt,recall_reached.duration,recall_selection.keys,end_feedback.keys,recall_selection.rt,recall_selection.duration,guess_conditions.thisRepN,guess_conditions.thisTrialN,guess_conditions.thisN,guess_conditions.thisIndex,trial_iti.thisRepN,trial_iti.thisTrialN,trial_iti.thisN,trial_iti.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,recall_practice.thisRepN,recall_practice.thisTrialN,recall_practice.thisN,recall_practice.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome.stopped,load_guess_conditions.started,load_guess_conditions.stopped,load_iti.started,load_iti.stopped,instructions1.started,instructions1_text.started,instruction1_key.started,instructions1.stopped,instruction1_key.keys,instruction1_key.rt,instruction1_key.duration,instructions2.started,instructions2_text.started,instruction2_key.started,instructions2.stopped,instruction2_key.keys,instruction2_key.rt,instruction2_key.duration,instructions3.started,instructions3_text.started,instruction3_key.started,instructions3.stopped,instruction3_key.keys,instruction3_key.rt,instruction3_key.duration,instructions4.started,instructions4_text.started,instruction4_key.started,instructions4.stopped,instruction4_key.keys,instruction4_key.rt,instruction4_key.duration,instructions5.started,instructions5_text.started,instruction5_key.started,instructions5.stopped,instruction5_key.keys,instruction5_key.rt,instruction5_key.duration,iti_learning_practice.started,iti_practice_blank.started,iti_learning_practice.stopped,guess.started,guess.stopped,practice_trials.end_guess.keys,guess_response.started,guess_response.stopped,practice_trials.guess_reached.keys,feedback_guess.started,no_response_feedback.started,no_response_feedback.stopped,feedback_guess.stopped,guess_delay.started,guess_delay.stopped,trial_type,encode.started,dash_stim_learning.started,cue_stim_learning.started,target_stim.started,end_encoding.started,encode.stopped,practice_trials.end_encoding.keys,dash_stim_guessing.started,cue_stim_guessing.started,guess_stim.started,end_guess.started,dash_stim_guessing.stopped,cue_stim_guessing.stopped,guess_stim.stopped,end_guess.stopped,dash_stim_guessing_resp.started,cue_stim_guessing_resp.started,guess_stim_resp.started,guess_question.started,guess_reached.started,dash_stim_guessing_resp.stopped,cue_stim_guessing_resp.stopped,guess_stim_resp.stopped,guess_question.stopped,guess_reached.stopped,practice_trials.guess_reached.rt,practice_trials.guess_reached.duration,guess_delay_cross.started,guess_delay_cross.stopped,start_task.started,start_task_text.started,start_key.started,start_task.stopped,start_key.keys,start_key.rt,start_key.duration,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,scanner_ready_press.rt,scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,skip_trigger.rt,skip_trigger.duration,begin_run.started,begin_run_cross.started,begin_run.stopped,setup_trial.started,setup_trial.stopped,learning_trials.end_guess.keys,learning_trials.guess_reached.keys,learning_trials.end_encoding.keys,iti_learning.started,iti_learning_cross.started,iti_learning_cross.stopped,iti_learning.stopped,task_break.started,task_break.stopped,learning_trials.task_break_resp.keys,learning_trials.scanner_ready_press.keys,learning_trials.skip_trigger.keys,end_part1.started,end_part1_key.started,end_part1_text.started,end_part1.stopped,end_part1_key.keys,end_part1_key.rt,end_part1_key.duration,instructions_recall1.started,recall_instructions1_text.started,recall_instructions1_key.started,instructions_recall1.stopped,recall_instructions1_key.keys,recall_instructions1_key.rt,recall_instructions1_key.duration,instructions_recall2.started,recall_instructions1_text_2.started,recall_instructions1_key_2.started,instructions_recall2.stopped,recall_instructions1_key_2.keys,recall_instructions1_key_2.rt,recall_instructions1_key_2.duration,iti_recall_practice.started,iti_recall_practice_cross.started,iti_recall_practice.stopped,cued_recall.started,cue_stim_recall.started,dash_stim_recall.started,qmark_target.started,end_cued_recall.started,cued_recall.stopped,recall_practice.end_cued_recall.keys,recall_response.started,dash_stim_recall_resp.started,cue_stim_recall_resp.started,recall_stim_resp.started,recall_question.started,recall_reached.started,recall_response.stopped,recall_practice.recall_reached.keys,recall_practice.recall_reached.rt,recall_practice.recall_reached.duration,recall_select.started,recall_select.stopped,recall_practice.recall_selection.keys,recall_feedback.started,dash_stim_feedback.started,cue_stim_feedback.started,target_stim_feedback.started,end_feedback.started,recall_feedback1.started,recall_feedback2.started,recall_feedback.stopped,recall_practice.end_feedback.keys,dash_stim_recall_select.started,cue_stim_recall_select.started,recall_stim_select.started,recall_question_select.started,recall_selection.started,dash_stim_recall_select.stopped,cue_stim_recall_select.stopped,recall_stim_select.stopped,recall_question_select.stopped,recall_selection.stopped,recall_practice.recall_selection.rt,recall_practice.recall_selection.duration,cue_stim_recall.stopped,dash_stim_recall.stopped,qmark_target.stopped,end_cued_recall.stopped,ID-Nummer,Alter,Geschlecht (optional),date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03944910000427626,0.045799400002579205,3.0049387000035495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608586,1,1,2025-03-24_11h13.43.594,guess,2024.2.4,89.859208585646,2025-03-24 11h13.54.577971 +0100,
Read,79,79,0,6,,,,,,,,,,,,,,,,,,,0,79,79,20,0,79,79,61,,,,,,,,,,,,,3.1576098000077764,,,,,3.0702510999981314,3.0707632999983616,3.130637399997795,3.131105300009949,3.1311682000086876,3.1576098000077764,3.1576098000077764,5.667276400010451,2,2.492935399990529,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608586,1,1,2025-03-24_11h13.43.594,guess,2024.2.4,89.859208585646,2025-03-24 11h13.54.577971 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.66734610000276,5.679067000004579,5.679067000004579,6.551395500006038,2,0.8630821999977343,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608586,1,1,2025-03-24_11h13.43.594,guess,2024.2.4,89.859208585646,2025-03-24 11h13.54.577971 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.551482599999872,6.567612600003486,6.567612600003486,7.317818800001987,2,0.7488994000013918,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608586,1,1,2025-03-24_11h13.43.594,guess,2024.2.4,89.859208585646,2025-03-24 11h13.54.577971 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.317885299999034,7.323622600000817,7.323622600000817,7.839472799998475,2,0.5118550000042887,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608586,1,1,2025-03-24_11h13.43.594,guess,2024.2.4,89.859208585646,2025-03-24 11h13.54.577971 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8395489000104135,7.845748300009291,7.845748300009291,8.272713099999237,2,0.41852469999867026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608586,1,1,2025-03-24_11h13.43.594,guess,2024.2.4,89.859208585646,2025-03-24 11h13.54.577971 +0100,
,0,0,0,,Frühstück,Brot,None,None,None,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,8.29001120000612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.282049100002041,8.29001120000612,10.282263100001728,10.284816500003217,10.284875700002885,None,10.28685430000769,10.286913200005074,None,10.29066870000679,10.300956200007931,10.324151399996481,10.304877000002307,10.304921200004173,10.30495879999944,Read,10.308914000008372,10.324151399996481,10.324151399996481,10.324151399996481,10.324151399996481,13.316028300003381,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608586,1,1,2025-03-24_11h13.43.594,guess,2024.2.4,89.859208585646,2025-03-24 11h13.54.577971 +0100,
,1,1,0,,Wand,Fenster,None,1,None,1.388839100007317,None,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,13.323360199996387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.316248100003577,13.323360199996387,15.315775700000813,15.31803249999939,18.327291599998716,None,18.32973939999647,19.838483700004872,1,19.846056000009412,19.856344400002854,21.356801000001724,21.35047000000486,21.350528900002246,24.349406599998474,Guess,24.353777800002717,24.368661900007282,24.368661900007282,24.368661900007282,24.368661900007282,27.36089589999756,None,15.334666599999764,15.334666599999764,15.334666599999764,15.334666599999764,18.345590900004026,18.345590900004026,18.345590900004026,18.345590900004026,18.345590900004026,18.345590900004026,18.345590900004026,18.345590900004026,18.345590900004026,19.856344400002854,19.856344400002854,19.856344400002854,19.856344400002854,19.856344400002854,1.388839100007317,None,21.356801000001724,24.368661900007282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608586,1,1,2025-03-24_11h13.43.594,guess,2024.2.4,89.859208585646,2025-03-24 11h13.54.577971 +0100,
,2,2,0,,Hund,Pfote,None,1,None,0.533049799996661,0.20502599999599624,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,27.367660999996588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.361190600000555,27.367660999996588,29.34960420000425,29.35218810000515,32.35004450000997,None,32.352630299996235,33.86184189999767,1,33.861939100010204,33.86806530000467,35.368016499996884,35.36110120000376,35.36115100000461,38.36183490000258,Guess,38.36689590000606,38.379827299999306,38.379827299999306,38.379827299999306,38.379827299999306,41.37155860000348,None,29.35715720000735,29.35715720000735,29.35715720000735,29.35715720000735,32.36860070000694,32.36860070000694,32.36860070000694,32.36860070000694,32.36860070000694,32.36860070000694,32.36860070000694,32.36860070000694,32.36860070000694,33.86806530000467,33.86806530000467,33.86806530000467,33.86806530000467,33.86806530000467,0.533049799996661,0.20502599999599624,35.368016499996884,38.379827299999306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608586,1,1,2025-03-24_11h13.43.594,guess,2024.2.4,89.859208585646,2025-03-24 11h13.54.577971 +0100,
,3,3,0,,Park,Baum,None,None,None,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,41.379291300007026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.371797600004356,41.379291300007026,43.37220690000686,43.37529170000926,43.3753652000014,None,43.37774189999618,43.37781970000651,None,43.3830125000095,43.39031679999607,43.41275109999697,43.39441710000392,43.39446209999733,43.39449800000875,Read,43.39817850000691,43.41275109999697,43.41275109999697,43.41275109999697,43.41275109999697,46.40463360000285,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608586,1,1,2025-03-24_11h13.43.594,guess,2024.2.4,89.859208585646,2025-03-24 11h13.54.577971 +0100,
