thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,end_mapping.keys,living_nonliving.rt,living_nonliving.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp__welcome.started,welcome.stopped,key_resp__welcome.keys,key_resp__welcome.rt,key_resp__welcome.duration,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.end_mapping.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,begin_end_run_cross.stopped,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004048499999953492,0.018320999999559717,0.018320999999559717,33.1589727999999,space,33.12106060000042,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1269,1,2025-09-20_11h21.11.455,sm,2024.2.4,59.96253540771553,2025-09-20 11h21.25.241563 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.15909620000002,33.16901109999981,33.16901109999981,121.6782564999994,space,88.49862170000051,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1269,1,2025-09-20_11h21.11.455,sm,2024.2.4,59.96253540771553,2025-09-20 11h21.25.241563 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.67838639999991,121.69348039999932,121.69348039999932,131.42788299999938,2,9.728893499999685,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1269,1,2025-09-20_11h21.11.455,sm,2024.2.4,59.96253540771553,2025-09-20 11h21.25.241563 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.42799689999993,131.44271759999992,131.44271759999992,145.74381469999935,2,14.297775000000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1269,1,2025-09-20_11h21.11.455,sm,2024.2.4,59.96253540771553,2025-09-20 11h21.25.241563 +0200,
0,0,0,Vulkan,Asche,Lava,Ausbruch,2.3448,space,3.513588200000413,None,None,None,None,,,0,0,0,0,0,79,79,63,0,0,0,0,0,79,79,11,0,0,0,0,207.7396749999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.74468139999954,145.74527679999937,145.8209511999994,145.8212094999999,145.82572809999965,145.82600749999983,145.85479159999977,145.85498329999973,145.86164800000006,145.86557259999972,145.86557259999972,149.3933288999997,space,3.513588200000413,None,149.3934750999997,149.4104772999999,149.4104772999999,195.70884279999973,None,195.7181332,195.7271183999992,195.724190766666,196.93176119999953,205.72345146666638,206.7318022999998,207.72351759999947,Kante,2.3448,207.72494310000002,207.72562349999953,207.72887899999932,207.7396749999998,210.0892621999992,210.07419339999979,210.08000489999995,210.0892621999992,210.0892621999992,210.0892621999992,210.0892621999992,212.09031589999995,212.09031589999995,212.09031589999995,212.09031589999995,212.07434939999985,None,None,,,,,,,,,,,,,,,,,,,,1269,1,2025-09-20_11h21.11.455,sm,2024.2.4,59.96253540771553,2025-09-20 11h21.25.241563 +0200,
1,0,1,,,,,,space,3.513588200000413,None,None,3,None,1.1189556999997876,0.31216909999966447,0,0,0,0,,,,,0,0,0,0,,,,,1,0,1,0,212.09031589999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rot,2.1266,212.0748322999998,212.07548719999977,212.07559330000004,212.09031589999995,214.22293329999957,214.20723409999937,214.21156989999963,214.22293329999957,214.22293329999957,214.22293329999957,214.22293329999957,216.22313349999968,216.22313349999968,216.22313349999968,216.22313349999968,216.2073778999993,3,None,1.1189556999997876,0.31216909999966447,,,,,,,,,,,,,,,,,,1269,1,2025-09-20_11h21.11.455,sm,2024.2.4,59.96253540771553,2025-09-20 11h21.25.241563 +0200,
2,0,2,,,,,,space,3.513588200000413,None,None,3,None,1.2092247999999017,0.2922195000001011,0,0,0,0,,,,,0,0,0,0,,,,,2,0,2,0,216.22313349999968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weiß,3.4446,216.20785929999965,216.20859259999997,216.20869799999946,216.22313349999968,219.67252049999934,219.65736500000003,219.66086369999994,219.67252049999934,219.67252049999934,219.67252049999934,219.67252049999934,221.6725803999998,221.6725803999998,221.6725803999998,221.6725803999998,221.6573303999994,3,None,1.2092247999999017,0.2922195000001011,,,,,,,,,,,,,,,,,,1269,1,2025-09-20_11h21.11.455,sm,2024.2.4,59.96253540771553,2025-09-20 11h21.25.241563 +0200,
3,0,3,,,,,,space,3.513588200000413,None,None,2,None,1.2615681999996013,0.2888143999998647,0,0,0,0,,,,,0,0,0,0,,,,,3,0,3,0,221.6725803999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vampir,2.6548,221.65784509999958,221.6585140999996,221.6586217999993,221.6725803999998,224.33879230000002,224.32356399999935,224.32757589999983,224.33879230000002,224.33879230000002,224.33879230000002,224.33879230000002,226.33892809999998,226.33892809999998,226.33892809999998,226.33892809999998,226.32341949999955,2,None,1.2615681999996013,0.2888143999998647,,,,,,,,,,,,,,,,,,1269,1,2025-09-20_11h21.11.455,sm,2024.2.4,59.96253540771553,2025-09-20 11h21.25.241563 +0200,
4,0,4,,,,,,space,3.513588200000413,None,None,3,None,1.3103965999998763,0.3449712999999974,0,0,0,0,,,,,0,0,0,0,,,,,4,0,4,0,226.33892809999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Club,2.7596,226.32393489999959,226.3244434999997,226.32455299999947,226.33892809999998,229.10539729999982,229.09008749999975,229.09600640000008,229.10539729999982,229.10539729999982,229.10539729999982,229.10539729999982,231.10560929999974,231.10560929999974,231.10560929999974,231.10560929999974,231.08979139999974,3,None,1.3103965999998763,0.3449712999999974,,,,,,,,,,,,,,,,,,1269,1,2025-09-20_11h21.11.455,sm,2024.2.4,59.96253540771553,2025-09-20 11h21.25.241563 +0200,
5,0,5,,,,,,space,3.513588200000413,None,None,3,None,1.0831541999996261,0.3031768999999258,0,0,0,0,,,,,0,0,0,0,,,,,5,0,5,0,231.10560929999974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Afrika,2.3398,231.09031309999955,231.09081689999948,231.09092249999958,231.10560929999974,233.45516119999957,233.4395582999996,233.44298629999957,233.45516119999957,233.45516119999957,233.45516119999957,233.45516119999957,235.45517969999946,235.45517969999946,235.45517969999946,235.45517969999946,235.4393811,3,None,1.0831541999996261,0.3031768999999258,,,,,,,,,,,,,,,,,,1269,1,2025-09-20_11h21.11.455,sm,2024.2.4,59.96253540771553,2025-09-20 11h21.25.241563 +0200,
