thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,end_mapping.keys,living_nonliving.rt,living_nonliving.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome.stopped,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,begin_end_run_cross.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.end_mapping.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,task_break_text.started,task_break_resp.started,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,thanks.started,thanks_text.started,thanks_text.stopped,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003155700000206707,0.017211400001542643,3.001792300001398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,1,2025-05-14_18h51.28.478,sm,2024.2.4,59.977748255283004,2025-05-14 18h54.15.637749 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.001868600000307,3.018316200003028,3.018316200003028,81.38553680000041,space,78.3589436000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,1,2025-05-14_18h51.28.478,sm,2024.2.4,59.977748255283004,2025-05-14 18h54.15.637749 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.3856442000033,81.39547340000354,81.39547340000354,88.44605740000043,3,7.04182800000126,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,1,2025-05-14_18h51.28.478,sm,2024.2.4,59.977748255283004,2025-05-14 18h54.15.637749 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.44615570000315,88.46170760000314,88.46170760000314,96.527992000003,3,8.060527399997227,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,1,2025-05-14_18h51.28.478,sm,2024.2.4,59.977748255283004,2025-05-14 18h54.15.637749 +0200,
0,0,0,Nase,Atem,Gesicht,Riechen,3.2059,space,3.599092299999029,None,None,None,None,,,0,0,0,0,0,79,79,22,0,0,0,0,0,79,79,69,0,0,0,0,158.52452780000021,,,,,,,,,,,,,,,,,,,,,,,,,,96.52837090000321,96.52864020000197,96.60161790000348,96.6017952000002,96.60786640000151,96.60807550000027,96.6321588000028,96.63231270000324,96.63879600000291,96.64188390000345,96.64188390000345,100.24612130000241,space,3.599092299999029,None,100.24618190000183,100.26225950000298,100.26225950000298,146.5103882000003,None,146.5178237,146.5256644000001,146.52599506666982,147.7341383000021,156.5252991666678,157.5250827000018,158.52452780000021,158.50844580000194,Hülse,3.2059,158.50898570000209,158.50918130000355,158.51053440000032,158.52452780000021,161.74124660000234,161.72496690000116,161.72794120000253,161.74124660000234,161.74124660000234,161.74124660000234,161.74124660000234,163.72579940000287,None,None,,,,,,,,,,,,,,,,,,,,,,,,,2020,1,2025-05-14_18h51.28.478,sm,2024.2.4,59.977748255283004,2025-05-14 18h54.15.637749 +0200,
1,0,1,,,,,,space,3.599092299999029,None,None,3,None,1.2349771000008332,0.18159379999997327,0,0,0,0,,,,,0,0,0,0,,,,,1,0,1,0,163.74222210000153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angriff,2.3362,163.72626990000208,163.72679790000257,163.72690200000216,163.74222210000153,166.09072170000218,166.0745695000005,166.0764259000025,166.09072170000218,166.09072170000218,166.09072170000218,166.09072170000218,168.07517690000168,3,None,1.2349771000008332,0.18159379999997327,,,,,,,,,,,,,,,,,,,,,,,2020,1,2025-05-14_18h51.28.478,sm,2024.2.4,59.977748255283004,2025-05-14 18h54.15.637749 +0200,
2,0,2,,,,,,space,3.599092299999029,None,None,3,None,1.1120760000012524,0.20045109999773558,0,0,0,0,,,,,0,0,0,0,,,,,2,0,2,0,168.09164750000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zug,3.0127,168.07563530000334,168.07612060000247,168.0762235000002,168.09164750000127,171.10737930000323,171.0912958000008,171.0968795000008,171.10737930000323,171.10737930000323,171.10737930000323,171.10737930000323,173.09108480000214,3,None,1.1120760000012524,0.20045109999773558,173.1079748000011,173.1079748000011,173.1079748000011,173.1079748000011,,,,,,,,,,,,,,,,,,,2020,1,2025-05-14_18h51.28.478,sm,2024.2.4,59.977748255283004,2025-05-14 18h54.15.637749 +0200,
3,0,3,,,,,,space,3.599092299999029,None,None,3,None,0.9187684000025911,0.18652509999810718,0,0,0,0,,,,,0,0,0,0,,,,,3,0,3,0,173.1079748000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dunkelheit,2.6446,173.09131460000208,173.0916625000027,173.09171210000204,173.1079748000011,175.7576289000026,175.74141050000253,175.74406400000225,175.7576289000026,175.7576289000026,175.7576289000026,175.7576289000026,177.74092790000213,3,None,0.9187684000025911,0.18652509999810718,177.7575039000003,177.7575039000003,177.7575039000003,177.7575039000003,,,,,,,,,,,,,,,,,,,2020,1,2025-05-14_18h51.28.478,sm,2024.2.4,59.977748255283004,2025-05-14 18h54.15.637749 +0200,
4,0,4,,,,,,space,3.599092299999029,None,None,3,None,0.8050242999997863,0.16161280000233091,0,0,0,0,,,,,0,0,0,0,,,,,4,0,4,0,177.7575039000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamant,4.3424,177.7411131000008,177.74133220000294,177.74136870000075,177.7575039000003,182.10676370000147,182.0901823000022,182.09183380000104,182.10676370000147,182.10676370000147,182.10676370000147,182.10676370000147,184.09044300000096,3,None,0.8050242999997863,0.16161280000233091,184.10714680000092,184.10714680000092,184.10714680000092,184.10714680000092,,,,,,,,,,,,,,,,,,,2020,1,2025-05-14_18h51.28.478,sm,2024.2.4,59.977748255283004,2025-05-14 18h54.15.637749 +0200,
5,0,5,,,,,,space,3.599092299999029,None,None,2,None,1.038371399998141,0.220336700000189,0,0,0,0,,,,,0,0,0,0,,,,,5,0,5,0,184.10714680000092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wind,2.4137,184.0907748000027,184.0910642000017,184.09113210000214,184.10714680000092,186.52304360000198,186.50785930000347,186.5093377000012,186.52304360000198,186.52304360000198,186.52304360000198,186.52304360000198,188.50675200000114,2,None,1.038371399998141,0.220336700000189,188.52374130000317,188.52374130000317,188.52374130000317,188.52374130000317,,,,,,,,,,,,,,,,,,,2020,1,2025-05-14_18h51.28.478,sm,2024.2.4,59.977748255283004,2025-05-14 18h54.15.637749 +0200,
