thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp__welcome.started,welcome.stopped,key_resp__welcome.keys,key_resp__welcome.rt,key_resp__welcome.duration,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,semantic_mapping_run.end_mapping.keys,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,begin_end_run_cross.stopped,fm_text.started,fm_key.started,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003804800000580144,0.012019100000543403,0.012019100000543403,87.69874979999986,space,87.66484490000039,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2389,1,2025-10-28_16h31.09.017,sm,2024.2.4,59.97947502359374,2025-10-28 16h31.18.476048 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.6988681999992,87.70856509999976,87.70856509999976,129.92182859999957,space,42.209407700000156,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2389,1,2025-10-28_16h31.09.017,sm,2024.2.4,59.97947502359374,2025-10-28 16h31.18.476048 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.92192439999963,129.93672399999923,129.93672399999923,144.4542748999993,3,14.51269879999927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2389,1,2025-10-28_16h31.09.017,sm,2024.2.4,59.97947502359374,2025-10-28 16h31.18.476048 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.45439199999964,144.46910039999966,144.46910039999966,164.85285060000024,2,20.374370100000306,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2389,1,2025-10-28_16h31.09.017,sm,2024.2.4,59.97947502359374,2025-10-28 16h31.18.476048 +0100,
0,0,0,Büro,Geschäft,Arbeit,Schreibtisch,3.6553,space,3.4770108000011533,None,None,3,1.6608039000002464,0.2422584999985702,None,0,0,0,0,0,79,79,32,0,0,0,0,0,79,79,45,0,0,0,0,225.5657745999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.85370780000085,164.85450689999925,164.9229460000006,164.9231777999994,164.9275742000009,164.92786010000054,164.95693709999978,164.95712789999925,164.96363589999964,164.9684481000004,164.9684481000004,168.45461000000068,space,3.4770108000011533,None,168.45476360000066,168.46932109999943,168.46932109999943,213.53335230000084,None,213.54244929999913,213.55073839999932,213.5484686666662,214.7552128999996,223.53281966666717,224.5356996999999,225.55005100000017,Tasse,3.6553,225.55147810000017,225.55216610000025,225.5553459999992,225.5657745999997,229.23208169999998,229.21665940000094,229.21997929999998,229.23208169999998,229.23208169999998,229.23208169999998,229.23208169999998,231.23257120000017,231.23257120000017,231.23257120000017,231.23257120000017,231.2167430999998,3,1.6608039000002464,0.2422584999985702,None,,,,,,,,,,,,,,,,2389,1,2025-10-28_16h31.09.017,sm,2024.2.4,59.97947502359374,2025-10-28 16h31.18.476048 +0100,
1,0,1,,,,,,space,3.4770108000011533,None,None,2,1.5916531999992003,0.28831669999999576,None,0,0,0,0,,,,,0,0,0,0,,,,,1,0,1,0,231.23257120000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humor,3.9851,231.21725870000046,231.21817790000023,231.21828800000003,231.23257120000017,235.23157329999958,235.21642369999972,235.22279030000027,235.23157329999958,235.23157329999958,235.23157329999958,235.23157329999958,237.23212960000092,237.23212960000092,237.23212960000092,237.23212960000092,237.2165096000008,2,1.5916531999992003,0.28831669999999576,None,,,,,,,,,,,,,,,,2389,1,2025-10-28_16h31.09.017,sm,2024.2.4,59.97947502359374,2025-10-28 16h31.18.476048 +0100,
2,0,2,,,,,,space,3.4770108000011533,None,None,3,1.3563276999993832,0.28859229999943636,None,0,0,0,0,,,,,0,0,0,0,,,,,2,0,2,0,237.23212960000092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mäher,2.2302,237.2170399000006,237.21759790000033,237.21770839999954,237.23212960000092,239.4652714999993,239.44971029999942,239.45377220000046,239.4652714999993,239.4652714999993,239.4652714999993,239.4652714999993,241.46527930000047,241.46527930000047,241.46527930000047,241.46527930000047,241.44983370000045,3,1.3563276999993832,0.28859229999943636,None,,,,,,,,,,,,,,,,2389,1,2025-10-28_16h31.09.017,sm,2024.2.4,59.97947502359374,2025-10-28 16h31.18.476048 +0100,
3,0,3,,,,,,space,3.4770108000011533,None,None,3,1.2043567999990046,0.27732079999987036,None,0,0,0,0,,,,,0,0,0,0,,,,,3,0,3,0,241.46527930000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Küche,2.1555,241.45036079999954,241.45096849999936,241.45107540000026,241.46527930000047,243.63143909999962,243.61594309999964,243.62161100000048,243.63143909999962,243.63143909999962,243.63143909999962,243.63143909999962,245.63167280000016,245.63167280000016,245.63167280000016,245.63167280000016,245.61599279999973,3,1.2043567999990046,0.27732079999987036,None,,,,,,,,,,,,,,,,2389,1,2025-10-28_16h31.09.017,sm,2024.2.4,59.97947502359374,2025-10-28 16h31.18.476048 +0100,
4,0,4,,,,,,space,3.4770108000011533,None,None,2,1.561407600000166,0.2613543000006757,None,0,0,0,0,,,,,0,0,0,0,,,,,4,0,4,0,245.63167280000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zähne,2.87,245.6164374,245.6169159000001,245.6170086000002,245.63167280000016,248.5147479999996,248.4992005999993,248.50551649999943,248.5147479999996,248.5147479999996,248.5147479999996,248.5147479999996,250.51488880000034,250.51488880000034,250.51488880000034,250.51488880000034,250.4993730999995,2,1.561407600000166,0.2613543000006757,None,,,,,,,,,,,,,,,,2389,1,2025-10-28_16h31.09.017,sm,2024.2.4,59.97947502359374,2025-10-28 16h31.18.476048 +0100,
5,0,5,,,,,,space,3.4770108000011533,None,None,2,1.19803900000079,0.30275710000023537,None,0,0,0,0,,,,,0,0,0,0,,,,,5,0,5,0,250.51488880000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hilfe,3.6558,250.49988370000028,250.50039119999929,250.50049410000065,250.51488880000034,254.18106799999987,254.1652252999993,254.16867769999953,254.18106799999987,254.18106799999987,254.18106799999987,254.18106799999987,256.18101249999927,256.18101249999927,256.18101249999927,256.18101249999927,256.1653669999996,2,1.19803900000079,0.30275710000023537,None,,,,,,,,,,,,,,,,2389,1,2025-10-28_16h31.09.017,sm,2024.2.4,59.97947502359374,2025-10-28 16h31.18.476048 +0100,
