thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome.stopped,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,begin_end_run_cross.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,semantic_mapping_run.end_mapping.keys,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,thanks.started,thanks_text.started,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004810899998119567,0.010238199996820185,3.00866159999714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2405,1,2025-06-18_19h52.42.236,sm,2024.2.4,59.96584345508702,2025-06-18 19h52.52.563907 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.008750599998166,3.024908699997468,3.024908699997468,3.0981899999969755,space,0.06365809999988414,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2405,1,2025-06-18_19h52.42.236,sm,2024.2.4,59.96584345508702,2025-06-18 19h52.52.563907 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.098314199996821,3.1065754999981436,3.1065754999981436,10.574327699996502,2,7.4534441999967385,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2405,1,2025-06-18_19h52.42.236,sm,2024.2.4,59.96584345508702,2025-06-18 19h52.52.563907 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.574447899998631,10.589376099997025,10.589376099997025,19.923811299999215,2,9.327525400000013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2405,1,2025-06-18_19h52.42.236,sm,2024.2.4,59.96584345508702,2025-06-18 19h52.52.563907 +0200,
0,0,0,Rasen,Pflege,Mäher,Gras,3.3057,space,121.72490990000006,None,None,3,1.2990587999993295,0.3519918999991205,None,0,0,0,0,0,79,79,77,0,0,0,0,0,79,79,54,0,0,0,0,201.4132690999977,,,,,,,,,,,,,,,,,,,,,,,,,,19.924672099998133,19.925481799997215,19.991910999997344,19.992145999996865,19.996573599997646,19.996864599997934,20.02630969999882,20.026576399999612,20.032773599999928,20.036679299999378,20.036679299999378,141.76891069999692,space,121.72490990000006,None,141.76909299999897,141.78376669999852,141.78376669999852,189.39717109999765,None,189.40574129999732,189.41429959999732,189.41257126666486,190.6160581999975,199.3970414666658,200.40561009999874,201.4132690999977,201.3978341999973,Karton,3.3057,201.39927839999655,201.39993329999925,201.40316379999786,201.4132690999977,204.7302017999973,204.71432789999744,204.72056669999802,204.7302017999973,204.7302017999973,204.7302017999973,204.7302017999973,206.72997679999753,206.72997679999753,206.72997679999753,206.72997679999753,206.71441719999711,3,1.2990587999993295,0.3519918999991205,None,,,,,,,,,,,,,,,,,,,,2405,1,2025-06-18_19h52.42.236,sm,2024.2.4,59.96584345508702,2025-06-18 19h52.52.563907 +0200,
1,0,1,,,,,,space,121.72490990000006,None,None,2,1.59221179999804,0.2682372999988729,None,0,0,0,0,,,,,0,0,0,0,,,,,1,0,1,0,206.72997679999753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gras,3.0501,206.71497949999684,206.71549529999902,206.7156025999975,206.72997679999753,209.7803240999965,209.76414439999644,209.76762289999897,209.7803240999965,209.7803240999965,209.7803240999965,209.7803240999965,211.7796718999998,211.7796718999998,211.7796718999998,211.7796718999998,211.76392879999912,2,1.59221179999804,0.2682372999988729,None,,,,,,,,,,,,,,,,,,,,2405,1,2025-06-18_19h52.42.236,sm,2024.2.4,59.96584345508702,2025-06-18 19h52.52.563907 +0200,
2,0,2,,,,,,space,121.72490990000006,None,None,3,0.8283039999987523,0.3516557000002649,None,0,0,0,0,,,,,0,0,0,0,,,,,2,0,2,0,211.7796718999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marmor,4.3947,211.76443219999783,211.76493339999797,211.76504679999925,211.7796718999998,216.17984519999663,216.16383869999845,216.16879309999786,216.17984519999663,216.17984519999663,216.17984519999663,216.17984519999663,218.17938119999963,218.17938119999963,218.17938119999963,218.17938119999963,218.16378409999743,3,0.8283039999987523,0.3516557000002649,None,,,,,,,,,,,,,,,,,,,,2405,1,2025-06-18_19h52.42.236,sm,2024.2.4,59.96584345508702,2025-06-18 19h52.52.563907 +0200,
3,0,3,,,,,,space,121.72490990000006,None,None,3,0.8160366000010981,0.33939729999838164,None,0,0,0,0,,,,,0,0,0,0,,,,,3,0,3,0,218.17938119999963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sitzgurt,3.832,218.16429459999927,218.16481069999645,218.16491799999858,218.17938119999963,222.01238029999877,221.99652829999832,222.00002569999924,222.01238029999877,222.01238029999877,222.01238029999877,222.01238029999877,224.0123962999969,224.0123962999969,224.0123962999969,224.0123962999969,223.9968151999965,3,0.8160366000010981,0.33939729999838164,None,,,,,,,,,,,,,,,,,,,,2405,1,2025-06-18_19h52.42.236,sm,2024.2.4,59.96584345508702,2025-06-18 19h52.52.563907 +0200,
4,0,4,,,,,,space,121.72490990000006,None,None,2,1.0044997000004514,0.27561710000009043,None,0,0,0,0,,,,,0,0,0,0,,,,,4,0,4,0,224.0123962999969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kunde,2.7308,223.99726669999654,223.99788019999687,223.9979753999978,224.0123962999969,226.74542849999852,226.72962119999647,226.7330253,226.74542849999852,226.74542849999852,226.74542849999852,226.74542849999852,228.74525249999715,228.74525249999715,228.74525249999715,228.74525249999715,228.7299546999966,2,1.0044997000004514,0.27561710000009043,None,,,,,,,,,,,,,,,,,,,,2405,1,2025-06-18_19h52.42.236,sm,2024.2.4,59.96584345508702,2025-06-18 19h52.52.563907 +0200,
5,0,5,,,,,,space,121.72490990000006,None,None,3,0.7976043000016944,0.2971638000017265,None,0,0,0,0,,,,,0,0,0,0,,,,,5,0,5,0,228.74525249999715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hütte,4.24,228.73046449999674,228.73098519999985,228.73109569999724,228.74525249999715,232.99525789999825,232.9793893999995,232.98575419999906,232.99525789999825,232.99525789999825,232.99525789999825,232.99525789999825,234.9951407999979,234.9951407999979,234.9951407999979,234.9951407999979,234.979516899999,3,0.7976043000016944,0.2971638000017265,None,,,,,,,,,,,,,,,,,,,,2405,1,2025-06-18_19h52.42.236,sm,2024.2.4,59.96584345508702,2025-06-18 19h52.52.563907 +0200,
