thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome_text.stopped,welcome.stopped,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,semantic_mapping_run.end_mapping.keys,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,begin_end_run_cross.stopped,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,thanks.started,thanks_text.started,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0037321999998312094,0.009304299999712384,3.008433299999524,2.9927520999999615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4110,1,2025-06-06_14h00.43.501,sm,2024.2.4,59.95480606735098,2025-06-06 14h00.57.307122 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9928408999994645,3.008433299999524,3.008433299999524,89.94489340000018,space,86.91931149999982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4110,1,2025-06-06_14h00.43.501,sm,2024.2.4,59.95480606735098,2025-06-06 14h00.57.307122 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.94501659999969,89.95404030000009,89.95404030000009,96.73850330000005,3,6.775526999999784,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4110,1,2025-06-06_14h00.43.501,sm,2024.2.4,59.95480606735098,2025-06-06 14h00.57.307122 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.7388178000001,96.75306199999977,96.75306199999977,107.35438040000008,2,10.59566889999951,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4110,1,2025-06-06_14h00.43.501,sm,2024.2.4,59.95480606735098,2025-06-06 14h00.57.307122 +0200,
0,0,0,Humor,Komödie,Lachen,Spaß,2.1949,space,2.602995200000805,None,None,3,1.5244308999999703,0.22600710000006075,None,0,0,0,0,0,79,79,2,0,0,0,0,0,79,79,35,0,0,0,0,168.21570530000008,,,,,,,,,,,,,,,,,,,,,,,,,,,107.35525729999972,107.35595190000004,107.42181170000003,107.42205259999992,107.42643259999932,107.4267319999999,107.45723709999947,107.45744579999973,107.46381370000017,107.46864839999944,107.46864839999944,110.08612809999977,space,2.602995200000805,None,110.08628570000019,110.10263709999981,110.10263709999981,156.18261299999995,None,156.1910329000002,156.2003023999996,156.19796516666636,157.4045202999996,166.18233636666653,167.18460229999982,168.1993083999996,Käse,2.1949,168.20077129999936,168.20165019999968,168.20515089999935,168.21570530000008,170.41534460000003,170.40001649999977,170.40588659999958,170.41534460000003,170.41534460000003,170.41534460000003,170.41534460000003,172.41550769999958,172.41550769999958,172.41550769999958,172.41550769999958,172.40023740000015,3,1.5244308999999703,0.22600710000006075,None,,,,,,,,,,,,,,,,,,,,,4110,1,2025-06-06_14h00.43.501,sm,2024.2.4,59.95480606735098,2025-06-06 14h00.57.307122 +0200,
1,0,1,,,,,,space,2.602995200000805,None,None,2,1.3559873999993215,0.1838619000000108,None,0,0,0,0,,,,,0,0,0,0,,,,,1,0,1,0,172.41550769999958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Applaus,2.1831,172.40075989999968,172.4012732000001,172.40137559999948,172.41550769999958,174.59865009999976,174.58297609999954,174.5874428999996,174.59865009999976,174.59865009999976,174.59865009999976,174.59865009999976,176.59856429999945,176.59856429999945,176.59856429999945,176.59856429999945,176.58301739999933,2,1.3559873999993215,0.1838619000000108,None,,,,,,,,,,,,,,,,,,,,,4110,1,2025-06-06_14h00.43.501,sm,2024.2.4,59.95480606735098,2025-06-06 14h00.57.307122 +0200,
2,0,2,,,,,,space,2.602995200000805,None,None,3,1.0607904999997118,0.18991600000026665,None,0,0,0,0,,,,,0,0,0,0,,,,,2,0,2,0,176.59856429999945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Telefon,2.021,176.5835244,176.58417379999992,176.58427979999942,176.59856429999945,178.6316968000001,178.61602820000007,178.62087359999987,178.6316968000001,178.6316968000001,178.6316968000001,178.6316968000001,,,,,180.61752439999964,3,1.0607904999997118,0.18991600000026665,None,,,,,,,,,,,,,,,,,,,,,4110,1,2025-06-06_14h00.43.501,sm,2024.2.4,59.95480606735098,2025-06-06 14h00.57.307122 +0200,
3,0,3,,,,,,space,2.602995200000805,None,None,3,1.4397071999992477,0.23373030000038852,None,0,0,0,0,,,,,0,0,0,0,,,,,3,0,3,0,180.63167350000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weltraum,5.3655,180.6180346000001,180.6188876999995,180.6189991000001,180.63167350000003,185.99782210000012,185.98228980000022,185.9864904999995,185.99782210000012,185.99782210000012,185.99782210000012,185.99782210000012,187.99794609999935,187.99794609999935,187.99794609999935,187.99794609999935,187.98222009999972,3,1.4397071999992477,0.23373030000038852,None,,,,,,,,,,,,,,,,,,,,,4110,1,2025-06-06_14h00.43.501,sm,2024.2.4,59.95480606735098,2025-06-06 14h00.57.307122 +0200,
4,0,4,,,,,,space,2.602995200000805,None,None,3,1.1042320999995354,0.23003140000037092,None,0,0,0,0,,,,,0,0,0,0,,,,,4,0,4,0,187.99794609999935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wahrheit,2.2129,187.98273269999936,187.9832618999999,187.98337329999958,187.99794609999935,190.2143519000001,190.19900700000017,190.20331110000006,190.2143519000001,190.2143519000001,190.2143519000001,190.2143519000001,192.2145230999995,192.2145230999995,192.2145230999995,192.2145230999995,192.19875039999988,3,1.1042320999995354,0.23003140000037092,None,,,,,,,,,,,,,,,,,,,,,4110,1,2025-06-06_14h00.43.501,sm,2024.2.4,59.95480606735098,2025-06-06 14h00.57.307122 +0200,
5,0,5,,,,,,space,2.602995200000805,None,None,3,1.007971500000167,0.22803419999945618,None,0,0,0,0,,,,,0,0,0,0,,,,,5,0,5,0,192.2145230999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hügel,2.5169,192.19926459999988,192.19977440000002,192.19987989999936,192.2145230999995,194.7306123999997,194.7150789999996,194.7213155999998,194.7306123999997,194.7306123999997,194.7306123999997,194.7306123999997,196.73065150000002,196.73065150000002,196.73065150000002,196.73065150000002,196.71519290000015,3,1.007971500000167,0.22803419999945618,None,,,,,,,,,,,,,,,,,,,,,4110,1,2025-06-06_14h00.43.501,sm,2024.2.4,59.95480606735098,2025-06-06 14h00.57.307122 +0200,
