thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp__welcome.started,welcome.stopped,key_resp__welcome.keys,key_resp__welcome.rt,key_resp__welcome.duration,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,semantic_mapping_run.end_mapping.keys,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,begin_end_run_cross.stopped,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,thanks.started,thanks_text.started,thanks_text.stopped,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003912500000296859,0.016990500000247266,0.016990500000247266,47.131442400001106,space,47.101393400000234,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4215,1,2025-10-17_18h33.54.486,sm,2024.2.4,59.971813248267196,2025-10-17 18h34.03.712370 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.131562500000655,47.14611680000053,47.14611680000053,168.27415760000076,space,121.12530679999873,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4215,1,2025-10-17_18h33.54.486,sm,2024.2.4,59.971813248267196,2025-10-17 18h34.03.712370 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.27429330000086,168.29090440000073,168.29090440000073,191.59122930000012,2,23.292202599999655,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4215,1,2025-10-17_18h33.54.486,sm,2024.2.4,59.971813248267196,2025-10-17 18h34.03.712370 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.59134409999933,191.6060698000001,191.6060698000001,213.88980269999956,2,22.277525000001333,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4215,1,2025-10-17_18h33.54.486,sm,2024.2.4,59.971813248267196,2025-10-17 18h34.03.712370 +0200,
0,0,0,Journalistin,Brille,Zeitung,Autorin,5.5971,space,2.3383916999991925,None,None,3,1.6397546000007424,0.25955400000020745,None,0,0,0,0,0,79,79,72,0,0,0,0,0,79,79,37,0,0,0,0,274.9844267999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.89069949999976,213.89141650000056,213.96491969999988,213.96515660000114,213.9696772999996,213.96996349999972,214.0006050000011,214.00080940000043,214.00749650000034,214.01233169999978,214.01233169999978,216.35654969999996,space,2.3383916999991925,None,216.35670070000015,216.3716671000002,216.3716671000002,262.9530345000003,None,262.96218729999964,262.97128239999984,262.96847576666755,264.1741359000007,272.9680439666665,273.9742341000001,274.9682625000005,Kamera,5.5971,274.9697372999999,274.97043420000045,274.97396070000104,274.9844267999997,280.585147400001,280.5685279999998,280.57519479999974,280.585147400001,280.585147400001,280.585147400001,280.585147400001,282.58421350000026,282.58421350000026,282.58421350000026,282.58421350000026,282.5684368000002,3,1.6397546000007424,0.25955400000020745,None,,,,,,,,,,,,,,,,,,,,,,4215,1,2025-10-17_18h33.54.486,sm,2024.2.4,59.971813248267196,2025-10-17 18h34.03.712370 +0200,
1,0,1,,,,,,space,2.3383916999991925,None,None,2,1.1766407000013714,0.2439211000000796,None,0,0,0,0,,,,,0,0,0,0,,,,,1,0,1,0,282.58421350000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zähne,2.2719,282.56894789999933,282.56960120000076,282.56970790000014,282.58421350000026,284.86723540000094,284.8517253000009,284.8583273999993,284.86723540000094,284.86723540000094,284.86723540000094,284.86723540000094,286.8671422999996,286.8671422999996,286.8671422999996,286.8671422999996,286.8514978000003,2,1.1766407000013714,0.2439211000000796,None,,,,,,,,,,,,,,,,,,,,,,4215,1,2025-10-17_18h33.54.486,sm,2024.2.4,59.971813248267196,2025-10-17 18h34.03.712370 +0200,
2,0,2,,,,,,space,2.3383916999991925,None,None,3,1.3008205000005546,0.40070769999874756,None,0,0,0,0,,,,,0,0,0,0,,,,,2,0,2,0,286.8671422999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schnürsenkel,3.8984,286.8520112999995,286.85252050000054,286.8526294000003,286.8671422999996,290.76658529999986,290.7510144000007,290.75465950000034,290.76658529999986,290.76658529999986,290.76658529999986,290.76658529999986,292.7687428999998,292.7687428999998,292.7687428999998,292.7687428999998,292.75128419999965,3,1.3008205000005546,0.40070769999874756,None,,,,,,,,,,,,,,,,,,,,,,4215,1,2025-10-17_18h33.54.486,sm,2024.2.4,59.971813248267196,2025-10-17 18h34.03.712370 +0200,
3,0,3,,,,,,space,2.3383916999991925,None,None,3,1.2433421999994607,0.2955646999998862,None,0,0,0,0,,,,,0,0,0,0,,,,,3,0,3,0,292.7687428999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keller,2.065,292.7517803999999,292.75229039999977,292.7523946000001,292.7687428999998,294.8331355999999,294.8174815000002,294.8208097000006,294.8331355999999,294.8331355999999,294.8331355999999,294.8331355999999,296.8331947000006,296.8331947000006,296.8331947000006,296.8331947000006,296.81779129999995,3,1.2433421999994607,0.2955646999998862,None,,,,,,,,,,,,,,,,,,,,,,4215,1,2025-10-17_18h33.54.486,sm,2024.2.4,59.971813248267196,2025-10-17 18h34.03.712370 +0200,
4,0,4,,,,,,space,2.3383916999991925,None,None,2,1.052989300000263,0.24270770000111952,None,0,0,0,0,,,,,0,0,0,0,,,,,4,0,4,0,296.8331947000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Team,2.2057,296.8182907999999,296.8188141999999,296.81891949999954,296.8331947000006,299.0496055000003,299.0339829000004,299.03779340000074,299.0496055000003,299.0496055000003,299.0496055000003,299.0496055000003,301.0494362999998,301.0494362999998,301.0494362999998,301.0494362999998,301.0341902,2,1.052989300000263,0.24270770000111952,None,,,,,,,,,,,,,,,,,,,,,,4215,1,2025-10-17_18h33.54.486,sm,2024.2.4,59.971813248267196,2025-10-17 18h34.03.712370 +0200,
5,0,5,,,,,,space,2.3383916999991925,None,None,3,1.510027500000433,0.2459806999995635,None,0,0,0,0,,,,,0,0,0,0,,,,,5,0,5,0,301.0494362999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fakt,2.825,301.0346129999998,301.03507809999974,301.03516599999966,301.0494362999998,303.8823260999998,303.86712629999965,303.8723355000002,303.8823260999998,303.8823260999998,303.8823260999998,303.8823260999998,305.88261910000074,305.88261910000074,305.88261910000074,305.88261910000074,305.8670757,3,1.510027500000433,0.2459806999995635,None,,,,,,,,,,,,,,,,,,,,,,4215,1,2025-10-17_18h33.54.486,sm,2024.2.4,59.971813248267196,2025-10-17 18h34.03.712370 +0200,
