thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,end_mapping.keys,living_nonliving.rt,living_nonliving.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome_text.stopped,welcome.stopped,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,blank_cross.started,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.end_mapping.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,task_break.started,task_break_text.started,task_break_resp.started,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,blank_cross.stopped,thanks.started,thanks_text.started,thanks_text.stopped,thanks.stopped,PID,Alter,Geschlecht (optional),MRI,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003250300000217976,0.010953200000585639,3.0115552000006574,2.995947300001717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guess_5579,25,male,1,2025-05-10_13h11.39.088,sm,2024.2.4,59.899644136060594,2025-05-10 13h12.04.125290 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.996042700000544,3.0115552000006574,3.0115552000006574,119.34902200000033,2,116.31261540000014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guess_5579,25,male,1,2025-05-10_13h11.39.088,sm,2024.2.4,59.899644136060594,2025-05-10 13h12.04.125290 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.34915380000166,119.35858940000071,119.35858940000071,141.13824100000056,2,21.766828399999213,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guess_5579,25,male,1,2025-05-10_13h11.39.088,sm,2024.2.4,59.899644136060594,2025-05-10 13h12.04.125290 +0200,
0,0,0,Pumpe,Reifen,Benzin,Wasser,2.3419,space,266.17012200000136,None,None,None,None,,,0,0,0,0,0,79,79,47,0,0,0,0,0,79,79,64,0,0,0,0,428.95341330000156,,,,,,,,,,,,,,,,,,,,141.13916450000033,141.13979420000032,141.23330460000034,141.23363229999995,141.2394312000015,141.23980830000073,141.27267830000164,141.27289090000158,141.27909610000097,141.2839195000015,141.2839195000015,407.45647980000103,space,266.17012200000136,None,407.45665850000114,407.4709419999999,407.4709419999999,416.92201580000074,None,416.9288995000006,416.93804740000087,428.936694,Gelenk,2.3419,428.9382560000013,428.93895410000005,428.94237280000016,428.95341330000156,431.30345600000146,431.28729080000085,431.2936346000006,431.30345600000146,431.30345600000146,431.30345600000146,431.30345600000146,433.3029778,433.3029778,433.3029778,433.3029778,433.28748760000053,None,None,,,,,,,,,,,,,,,Guess_5579,25,male,1,2025-05-10_13h11.39.088,sm,2024.2.4,59.899644136060594,2025-05-10 13h12.04.125290 +0200,
1,0,1,,,,,,space,266.17012200000136,None,None,3,None,1.2010532000003877,0.15897969999969064,0,0,0,0,,,,,0,0,0,0,,,,,1,0,1,0,433.3029778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eule,2.0031,433.28794990000097,433.288456100001,433.28856970000015,433.3029778,435.3193639000001,435.3037703000009,435.3075815000011,435.3193639000001,435.3193639000001,435.3193639000001,435.3193639000001,437.31975779999993,437.31975779999993,437.31975779999993,437.31975779999993,437.30367410000144,3,None,1.2010532000003877,0.15897969999969064,,,,,,,,,,,,,Guess_5579,25,male,1,2025-05-10_13h11.39.088,sm,2024.2.4,59.899644136060594,2025-05-10 13h12.04.125290 +0200,
2,0,2,,,,,,space,266.17012200000136,None,None,3,None,0.8663527999997314,0.2003396000000066,0,0,0,0,,,,,0,0,0,0,,,,,2,0,2,0,437.31975779999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stein,2.1831,437.3041875000017,437.304831200001,437.3049363000009,437.31975779999993,439.50237780000134,439.4869131000014,439.4910465000012,439.50237780000134,439.50237780000134,439.50237780000134,439.50237780000134,441.5024725000003,441.5024725000003,441.5024725000003,441.5024725000003,441.48678930000096,3,None,0.8663527999997314,0.2003396000000066,,,,,,,,,,,,,Guess_5579,25,male,1,2025-05-10_13h11.39.088,sm,2024.2.4,59.899644136060594,2025-05-10 13h12.04.125290 +0200,
3,0,3,,,,,,space,266.17012200000136,None,None,3,None,1.145130099999733,0.19248590000097465,0,0,0,0,,,,,0,0,0,0,,,,,3,0,3,0,441.5024725000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bleistift,2.1949,441.4872865000016,441.48779880000075,441.4879055000001,441.5024725000003,443.7028846000012,443.6865439000012,443.69061800000054,443.7028846000012,443.7028846000012,443.7028846000012,443.7028846000012,445.7023252000017,445.7023252000017,445.7023252000017,445.7023252000017,445.68648700000085,3,None,1.145130099999733,0.19248590000097465,,,,,,,,,,,,,Guess_5579,25,male,1,2025-05-10_13h11.39.088,sm,2024.2.4,59.899644136060594,2025-05-10 13h12.04.125290 +0200,
4,0,4,,,,,,space,266.17012200000136,None,None,3,None,1.3635395000001154,0.212360899999112,0,0,0,0,,,,,0,0,0,0,,,,,4,0,4,0,445.7023252000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tradition,2.7357,445.6869583000007,445.68760629999997,445.6877058000009,445.7023252000017,448.45255090000137,448.436371400001,448.44043050000073,448.45255090000137,448.45255090000137,448.45255090000137,448.45255090000137,450.4518992000012,450.4518992000012,450.4518992000012,450.4518992000012,450.43638080000164,3,None,1.3635395000001154,0.212360899999112,,,,,,,,,,,,,Guess_5579,25,male,1,2025-05-10_13h11.39.088,sm,2024.2.4,59.899644136060594,2025-05-10 13h12.04.125290 +0200,
5,0,5,,,,,,space,266.17012200000136,None,None,2,None,0.9302186999993864,0.20256530000006023,0,0,0,0,,,,,0,0,0,0,,,,,5,0,5,0,450.4518992000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boss,2.3599,450.43688100000145,450.4374050000006,450.4375095000014,450.4518992000012,452.8180828000004,452.8027941,452.8057151000012,452.8180828000004,452.8180828000004,452.8180828000004,452.8180828000004,454.81883259999995,454.81883259999995,454.81883259999995,454.81883259999995,454.8025288000008,2,None,0.9302186999993864,0.20256530000006023,,,,,,,,,,,,,Guess_5579,25,male,1,2025-05-10_13h11.39.088,sm,2024.2.4,59.899644136060594,2025-05-10 13h12.04.125290 +0200,
6,0,6,,,,,,space,266.17012200000136,None,None,2,None,0.8381107000004704,0.19548109999959706,0,0,0,0,,,,,0,0,0,0,,,,,6,0,6,0,454.81883259999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schläger,2.3362,454.8029966000013,454.80348610000146,454.80358550000165,454.81883259999995,457.1678118,457.1522885000013,457.1558197000013,457.1678118,457.1678118,457.1678118,457.1678118,459.16785300000083,459.16785300000083,459.16785300000083,459.16785300000083,459.1527051000012,2,None,0.8381107000004704,0.19548109999959706,,,,,,,,,,,,,Guess_5579,25,male,1,2025-05-10_13h11.39.088,sm,2024.2.4,59.899644136060594,2025-05-10 13h12.04.125290 +0200,
