thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp__welcome.started,welcome.stopped,key_resp__welcome.keys,key_resp__welcome.rt,key_resp__welcome.duration,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,semantic_mapping_run.end_mapping.keys,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,begin_end_run_cross.stopped,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004662899999857473,0.013578699999925448,0.013578699999925448,11.196700399999827,space,11.174768400000175,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5720,1,2025-10-17_16h12.03.769,sm,2024.2.4,59.967138008263554,2025-10-17 16h12.15.988986 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.196822500000053,11.205913200000396,11.205913200000396,92.06614439999976,space,80.84590240000034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5720,1,2025-10-17_16h12.03.769,sm,2024.2.4,59.967138008263554,2025-10-17 16h12.15.988986 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.06632270000046,92.08120260000032,92.08120260000032,105.73198320000029,2,13.647944899999857,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5720,1,2025-10-17_16h12.03.769,sm,2024.2.4,59.967138008263554,2025-10-17 16h12.15.988986 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.7321063999998,105.74698900000021,105.74698900000021,115.06504949999999,2,9.312473699999828,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5720,1,2025-10-17_16h12.03.769,sm,2024.2.4,59.967138008263554,2025-10-17 16h12.15.988986 +0200,
0,0,0,Mappe,Ordner,Datei,Papier,3.3674,space,3.7270582999999533,None,None,3,1.4598611999999775,0.2462851000000228,None,0,0,0,0,0,79,79,46,0,0,0,0,0,79,79,7,0,0,0,0,177.62834400000065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.06597899999997,115.06665440000052,115.14309529999991,115.14334550000058,115.14787030000025,115.14816710000014,115.17777800000022,115.17798940000011,115.18461320000006,115.18852860000061,115.18852860000061,118.9334114000003,space,3.7270582999999533,None,118.93357060000017,118.94813620000059,118.94813620000059,165.59693080000034,None,165.60571560000062,165.61418370000047,165.6122989666667,166.82158299999992,175.61125356666733,176.62135649999982,177.61131440000008,Schuh,3.3674,177.61265820000062,177.6133346000006,177.6164574000004,177.62834400000065,181.01046730000053,180.99524810000003,180.9986570000001,181.01046730000053,181.01046730000053,181.01046730000053,181.01046730000053,183.0109379000005,183.0109379000005,183.0109379000005,183.0109379000005,182.9958704999999,3,1.4598611999999775,0.2462851000000228,None,,,,,,,,,,,,,,,,,,5720,1,2025-10-17_16h12.03.769,sm,2024.2.4,59.967138008263554,2025-10-17 16h12.15.988986 +0200,
1,0,1,,,,,,space,3.7270582999999533,None,None,3,0.8313931999991837,0.2865473000001657,None,0,0,0,0,,,,,0,0,0,0,,,,,1,0,1,0,183.0109379000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nase,4.0471,182.99638719999984,182.99690800000008,182.99702179999986,183.0109379000005,187.0607104999999,187.04507210000065,187.0486808000005,187.0607104999999,187.0607104999999,187.0607104999999,187.0607104999999,189.06065130000025,189.06065130000025,189.06065130000025,189.06065130000025,189.0449921999998,3,0.8313931999991837,0.2865473000001657,None,,,,,,,,,,,,,,,,,,5720,1,2025-10-17_16h12.03.769,sm,2024.2.4,59.967138008263554,2025-10-17 16h12.15.988986 +0200,
2,0,2,,,,,,space,3.7270582999999533,None,None,2,0.7601297000001068,0.19412190000002738,None,0,0,0,0,,,,,0,0,0,0,,,,,2,0,2,0,189.06065130000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hase,2.9545,189.04549860000043,189.0460309,189.04613860000063,189.06065130000025,192.02749050000057,192.0115248000002,192.0181935999999,192.02749050000057,192.02749050000057,192.02749050000057,192.02749050000057,194.02705940000033,194.02705940000033,194.02705940000033,194.02705940000033,194.01121430000057,2,0.7601297000001068,0.19412190000002738,None,,,,,,,,,,,,,,,,,,5720,1,2025-10-17_16h12.03.769,sm,2024.2.4,59.967138008263554,2025-10-17 16h12.15.988986 +0200,
3,0,3,,,,,,space,3.7270582999999533,None,None,3,0.8073337999994692,0.2560293000005913,None,0,0,0,0,,,,,0,0,0,0,,,,,3,0,3,0,194.02705940000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soße,2.8689,194.01169220000065,194.01219550000042,194.01229690000036,194.02705940000033,196.9098969000006,196.89436240000032,196.8980677999998,196.9098969000006,196.9098969000006,196.9098969000006,196.9098969000006,198.90996520000044,198.90996520000044,198.90996520000044,198.90996520000044,198.89422600000034,3,0.8073337999994692,0.2560293000005913,None,,,,,,,,,,,,,,,,,,5720,1,2025-10-17_16h12.03.769,sm,2024.2.4,59.967138008263554,2025-10-17 16h12.15.988986 +0200,
4,0,4,,,,,,space,3.7270582999999533,None,None,3,0.6939133999994738,0.2611370000004172,None,0,0,0,0,,,,,0,0,0,0,,,,,4,0,4,0,198.90996520000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hose,2.4547,198.89471050000066,198.89534749999984,198.89545720000024,198.90996520000044,201.37628620000032,201.36072289999993,201.36367640000026,201.37628620000032,201.37628620000032,201.37628620000032,201.37628620000032,203.37642959999994,203.37642959999994,203.37642959999994,203.37642959999994,203.3609790999999,3,0.6939133999994738,0.2611370000004172,None,,,,,,,,,,,,,,,,,,5720,1,2025-10-17_16h12.03.769,sm,2024.2.4,59.967138008263554,2025-10-17 16h12.15.988986 +0200,
5,0,5,,,,,,space,3.7270582999999533,None,None,3,0.747954700000264,0.26125020000017685,None,0,0,0,0,,,,,0,0,0,0,,,,,5,0,5,0,203.37642959999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zucker,5.095,203.36148719999983,203.36213380000027,203.36224130000028,203.37642959999994,208.47597680000035,208.4605676000001,208.4669539000006,208.47597680000035,208.47597680000035,208.47597680000035,208.47597680000035,210.47589080000034,210.47589080000034,210.47589080000034,210.47589080000034,210.4605161999998,3,0.747954700000264,0.26125020000017685,None,,,,,,,,,,,,,,,,,,5720,1,2025-10-17_16h12.03.769,sm,2024.2.4,59.967138008263554,2025-10-17 16h12.15.988986 +0200,
