thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp__welcome.started,welcome.stopped,key_resp__welcome.keys,key_resp__welcome.rt,key_resp__welcome.duration,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,begin_end_run_cross.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,semantic_mapping_run.end_mapping.keys,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,thanks.started,thanks_text.started,thanks_text.stopped,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0036036999999851105,0.00915900000018155,0.00915900000018155,498.86608180000076,space,498.8485005000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5848,1,2025-10-08_17h06.22.151,sm,2024.2.4,59.91292255845215,2025-10-08 17h06.39.724420 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498.8662211999999,498.8801809000006,498.8801809000006,596.1098325000003,space,97.22577480000018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5848,1,2025-10-08_17h06.22.151,sm,2024.2.4,59.91292255845215,2025-10-08 17h06.39.724420 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596.1099570000006,596.1245066000001,596.1245066000001,604.3594139000006,2,8.229483500000242,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5848,1,2025-10-08_17h06.22.151,sm,2024.2.4,59.91292255845215,2025-10-08 17h06.39.724420 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604.3595325000006,604.3740637999999,604.3740637999999,615.2253396000006,2,10.837458699999843,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5848,1,2025-10-08_17h06.22.151,sm,2024.2.4,59.91292255845215,2025-10-08 17h06.39.724420 +0200,
0,0,0,Teleskop,Himmel,Sterne,Weltraum,2.1702,space,7.682770299999902,None,None,3,1.3384477999998126,0.30452359999981127,None,0,0,0,0,0,79,79,55,0,0,0,0,0,79,79,58,0,0,0,0,683.7360264000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615.2263227000003,615.2269030000007,615.3038576000008,615.3042953000004,615.309287,615.3096288000006,615.3414700000003,615.3416687000008,615.3479987000001,615.3528317,615.3528317,623.0418983,space,7.682770299999902,None,623.0420557000007,623.0564928000003,623.0564928000003,671.7199281000003,None,671.7287231,671.7369849000006,671.7353896666666,672.9457252000002,681.7198369666669,682.7257398000002,683.7360264000008,683.7204666000007,Lernen,2.1702,683.7217379000003,683.7224747,683.7256548000005,683.7360264000008,685.9363043000003,685.9038946999999,685.9082272000005,685.9363043000003,685.9363043000003,685.9363043000003,685.9363043000003,687.9197951000006,3,1.3384477999998126,0.30452359999981127,None,,,,,,,,,,,,,,,,,,,,,,,,,5848,1,2025-10-08_17h06.22.151,sm,2024.2.4,59.91292255845215,2025-10-08 17h06.39.724420 +0200,
1,0,1,,,,,,space,7.682770299999902,None,None,3,1.015260600000147,0.2636161999998876,None,0,0,0,0,,,,,0,0,0,0,,,,,1,0,1,0,687.9364620000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Telefon,2.9112,687.9202835000006,687.9209800000008,687.9210861000001,687.9364620000006,690.8526527000004,690.8369943000007,690.8410849000002,690.8526527000004,690.8526527000004,690.8526527000004,690.8526527000004,692.8372278000006,3,1.015260600000147,0.2636161999998876,None,692.8526204,692.8526204,692.8526204,692.8526204,,,,,,,,,,,,,,,,,,,,,5848,1,2025-10-08_17h06.22.151,sm,2024.2.4,59.91292255845215,2025-10-08 17h06.39.724420 +0200,
2,0,2,,,,,,space,7.682770299999902,None,None,3,1.099810100000468,0.39293499999985215,None,0,0,0,0,,,,,0,0,0,0,,,,,2,0,2,0,692.8526204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Duft,2.7158,692.8377373000003,692.8384846000008,692.8385926999999,692.8526204,695.5687604000004,695.5534312,695.5578502000008,695.5687604000004,695.5687604000004,695.5687604000004,695.5687604000004,697.5535445000005,3,1.099810100000468,0.39293499999985215,None,697.5690638000005,697.5690638000005,697.5690638000005,697.5690638000005,,,,,,,,,,,,,,,,,,,,,5848,1,2025-10-08_17h06.22.151,sm,2024.2.4,59.91292255845215,2025-10-08 17h06.39.724420 +0200,
3,0,3,,,,,,space,7.682770299999902,None,None,3,0.8790386000000581,0.23373850000007224,None,0,0,0,0,,,,,0,0,0,0,,,,,3,0,3,0,697.5690638000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nachricht,2.3973,697.5540588000003,697.5546817000004,697.5548538000003,697.5690638000005,699.9689350000008,699.9531393000007,699.9573155000007,699.9689350000008,699.9689350000008,699.9689350000008,699.9689350000008,701.9532985000005,3,0.8790386000000581,0.23373850000007224,None,701.9687523000002,701.9687523000002,701.9687523000002,701.9687523000002,,,,,,,,,,,,,,,,,,,,,5848,1,2025-10-08_17h06.22.151,sm,2024.2.4,59.91292255845215,2025-10-08 17h06.39.724420 +0200,
4,0,4,,,,,,space,7.682770299999902,None,None,3,0.7763119000001097,0.2183294999995269,None,0,0,0,0,,,,,0,0,0,0,,,,,4,0,4,0,701.9687523000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spaghetti,2.002,701.9538011000004,701.9543200000007,701.9544247000003,701.9687523000002,703.9850794000004,703.9695167,703.9734376000006,703.9850794000004,703.9850794000004,703.9850794000004,703.9850794000004,705.9696764,3,0.7763119000001097,0.2183294999995269,None,705.9852035000004,705.9852035000004,705.9852035000004,705.9852035000004,,,,,,,,,,,,,,,,,,,,,5848,1,2025-10-08_17h06.22.151,sm,2024.2.4,59.91292255845215,2025-10-08 17h06.39.724420 +0200,
5,0,5,,,,,,space,7.682770299999902,None,None,3,0.6487047999999049,0.22230690000014874,None,0,0,0,0,,,,,0,0,0,0,,,,,5,0,5,0,705.9852035000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brille,2.0734,705.9701869,705.9707183,705.9708366000004,705.9852035000004,708.0683614,708.0525799000006,708.0564664000003,708.0683614,708.0683614,708.0683614,708.0683614,710.0525191000006,3,0.6487047999999049,0.22230690000014874,None,710.0684364000008,710.0684364000008,710.0684364000008,710.0684364000008,,,,,,,,,,,,,,,,,,,,,5848,1,2025-10-08_17h06.22.151,sm,2024.2.4,59.91292255845215,2025-10-08 17h06.39.724420 +0200,
