thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,end_mapping.keys,living_nonliving.rt,living_nonliving.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome.stopped,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.end_mapping.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,begin_end_run_cross.stopped,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,thanks.started,thanks_text.started,thanks_text.stopped,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003659299998616916,0.018546999999671243,3.00246530000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6039,1,2025-06-02_15h54.30.652,sm,2024.2.4,59.92911584207269,2025-06-02 15h54.59.469445 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0025519999999233,3.018861900000047,3.018861900000047,191.86741230000007,space,188.83866379999927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6039,1,2025-06-02_15h54.30.652,sm,2024.2.4,59.92911584207269,2025-06-02 15h54.59.469445 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.86753549999958,191.87653820000014,191.87653820000014,199.84067799999866,2,7.952128900000389,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6039,1,2025-06-02_15h54.30.652,sm,2024.2.4,59.92911584207269,2025-06-02 15h54.59.469445 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.8407969,199.85575719999906,199.85575719999906,209.2573152999994,2,9.389982700000473,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6039,1,2025-06-02_15h54.30.652,sm,2024.2.4,59.92911584207269,2025-06-02 15h54.59.469445 +0200,
0,0,0,Teleskop,Himmel,Sterne,Weltraum,2.3006,space,1.9435627000002569,None,None,None,None,,,0,0,0,0,0,79,79,55,0,0,0,0,0,79,79,41,0,0,0,0,269.7864443999988,,,,,,,,,,,,,,,,,,,,,,,,,,209.25830089999909,209.25911579999956,209.32548580000002,209.3257367999995,209.33021279999957,209.3305177000002,209.3598605999996,209.36005549999936,209.3664594999991,209.37035899999864,209.37035899999864,211.32554170000003,space,1.9435627000002569,None,211.32569619999958,211.3402262999989,211.3402262999989,257.75407339999947,None,257.7633998000001,257.7715498999987,257.7691615666665,258.98154179999983,267.75394446666564,268.76152489999913,269.7703184999991,Karton,2.3006,269.77158509999936,269.77231839999877,269.77537499999926,269.7864443999988,272.0876236999993,272.0710462999996,272.0779456,272.0876236999993,272.0876236999993,272.0876236999993,272.0876236999993,274.08667779999996,274.08667779999996,274.08667779999996,274.08667779999996,274.07122399999935,None,None,,,,,,,,,,,,,,,,,,,,,,,,6039,1,2025-06-02_15h54.30.652,sm,2024.2.4,59.92911584207269,2025-06-02 15h54.59.469445 +0200,
1,0,1,,,,,,space,1.9435627000002569,None,None,2,None,1.6096221000007063,0.22453609999865876,0,0,0,0,,,,,0,0,0,0,,,,,1,0,1,0,274.08667779999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blumen,2.0589,274.0716322999997,274.07210750000013,274.07220029999917,274.08667779999996,276.1533120999993,276.13760419999926,276.1418758,276.1533120999993,276.1533120999993,276.1533120999993,276.1533120999993,278.1530640000001,278.1530640000001,278.1530640000001,278.1530640000001,278.1374417999996,2,None,1.6096221000007063,0.22453609999865876,,,,,,,,,,,,,,,,,,,,,,6039,1,2025-06-02_15h54.30.652,sm,2024.2.4,59.92911584207269,2025-06-02 15h54.59.469445 +0200,
2,0,2,,,,,,space,1.9435627000002569,None,None,3,None,1.0088071999998647,0.2602630000001227,0,0,0,0,,,,,0,0,0,0,,,,,2,0,2,0,278.1530640000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salz,3.039,278.1379457999992,278.1386896999993,278.1387959999993,278.1530640000001,281.2029838999988,281.1870519999993,281.1912906999987,281.2029838999988,281.2029838999988,281.2029838999988,281.2029838999988,283.2028120999985,283.2028120999985,283.2028120999985,283.2028120999985,283.1874649000001,3,None,1.0088071999998647,0.2602630000001227,,,,,,,,,,,,,,,,,,,,,,6039,1,2025-06-02_15h54.30.652,sm,2024.2.4,59.92911584207269,2025-06-02 15h54.59.469445 +0200,
3,0,3,,,,,,space,1.9435627000002569,None,None,3,None,1.078432199999952,0.25522629999977653,0,0,0,0,,,,,0,0,0,0,,,,,3,0,3,0,283.2028120999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zug,3.0547,283.18796509999993,283.18847709999864,283.1885805999991,283.2028120999985,286.26931089999925,286.25391489999856,286.2600559000002,286.26931089999925,286.26931089999925,286.26931089999925,286.26931089999925,288.2693051999995,288.2693051999995,288.2693051999995,288.2693051999995,288.25338889999875,3,None,1.078432199999952,0.25522629999977653,,,,,,,,,,,,,,,,,,,,,,6039,1,2025-06-02_15h54.30.652,sm,2024.2.4,59.92911584207269,2025-06-02 15h54.59.469445 +0200,
4,0,4,,,,,,space,1.9435627000002569,None,None,3,None,1.2495410999999876,0.29027510000014445,0,0,0,0,,,,,0,0,0,0,,,,,4,0,4,0,288.2693051999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sand,2.0168,288.2538561000001,288.2544651999997,288.25464119999924,288.2693051999995,290.2854762999996,290.27010209999935,290.27377739999974,290.2854762999996,290.2854762999996,290.2854762999996,290.2854762999996,292.2856168999988,292.2856168999988,292.2856168999988,292.2856168999988,292.2700905999991,3,None,1.2495410999999876,0.29027510000014445,,,,,,,,,,,,,,,,,,,,,,6039,1,2025-06-02_15h54.30.652,sm,2024.2.4,59.92911584207269,2025-06-02 15h54.59.469445 +0200,
5,0,5,,,,,,space,1.9435627000002569,None,None,3,None,0.9598883999988175,0.31252610000046843,0,0,0,0,,,,,0,0,0,0,,,,,5,0,5,0,292.2856168999988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabel,4.3756,292.27062639999895,292.27114900000015,292.2712733999997,292.2856168999988,296.6688474999992,296.65300299999944,296.6569882999993,296.6688474999992,296.6688474999992,296.6688474999992,296.6688474999992,298.6687044999999,298.6687044999999,298.6687044999999,298.6687044999999,298.6530934000002,3,None,0.9598883999988175,0.31252610000046843,,,,,,,,,,,,,,,,,,,,,,6039,1,2025-06-02_15h54.30.652,sm,2024.2.4,59.92911584207269,2025-06-02 15h54.59.469445 +0200,
