thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp__welcome.started,welcome.stopped,key_resp__welcome.keys,key_resp__welcome.rt,key_resp__welcome.duration,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,begin_end_run_cross.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,semantic_mapping_run.end_mapping.keys,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,thanks.started,thanks_text.started,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005323299999872688,0.01662410000062664,0.01662410000062664,97.66925430000083,space,97.64112539999951,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6532,1,2025-07-29_16h28.40.266,sm,2024.2.4,59.98220927655392,2025-07-29 16h29.02.192553 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.66938560000017,97.67798810000022,97.67798810000022,176.90841060000093,space,79.21197639999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6532,1,2025-07-29_16h28.40.266,sm,2024.2.4,59.98220927655392,2025-07-29 16h29.02.192553 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.90852780000023,176.9232886000009,176.9232886000009,186.5746024,2,9.63782700000047,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6532,1,2025-07-29_16h28.40.266,sm,2024.2.4,59.98220927655392,2025-07-29 16h29.02.192553 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.57472130000133,186.58934950000003,186.58934950000003,198.00555370000075,2,11.407384300000558,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6532,1,2025-07-29_16h28.40.266,sm,2024.2.4,59.98220927655392,2025-07-29 16h29.02.192553 +0200,
0,0,0,Professor,Student,Lehrer,Universität,3.8333,space,9.332158199998958,None,None,3,1.733820999999807,None,None,0,0,0,0,0,79,79,70,0,0,0,0,0,79,79,19,0,0,0,0,266.50118590000056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.006529100001,198.00734490000104,198.07316119999996,198.07340300000033,198.07787149999967,198.07816830000047,198.10781029999998,198.10800910000034,198.11466260000088,198.11852650000037,198.11852650000037,207.4570472000014,space,9.332158199998958,None,207.4572059000002,207.4714808000008,207.4714808000008,254.4849073000005,None,254.49304640000082,254.5020738000003,254.50040066666796,255.7109657000001,264.4849266666681,265.4909032000014,266.50118590000056,266.48568460000024,Mappe,3.8333,266.48701080000137,266.4877637999998,266.4907608000012,266.50118590000056,270.33450919999996,270.318947400001,270.32321460000094,270.33450919999996,270.33450919999996,270.33450919999996,270.33450919999996,272.3346687000012,272.3346687000012,272.3346687000012,272.3346687000012,272.31857670000136,3,1.733820999999807,None,None,,,,,,,,,,,,,,,,,,,,6532,1,2025-07-29_16h28.40.266,sm,2024.2.4,59.98220927655392,2025-07-29 16h29.02.192553 +0200,
1,0,1,,,,,,space,9.332158199998958,None,None,3,1.246297499999855,0.2267890000002808,None,0,0,0,0,,,,,0,0,0,0,,,,,1,0,1,0,272.3346687000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seife,3.3247,272.3189772000005,272.31945030000134,272.31953050000084,272.3346687000012,275.66753130000143,275.6519033000004,275.6553689000011,275.66753130000143,275.66753130000143,275.66753130000143,275.66753130000143,277.6675771000009,277.6675771000009,277.6675771000009,277.6675771000009,277.65229660000114,3,1.246297499999855,0.2267890000002808,None,,,,,,,,,,,,,,,,,,,,6532,1,2025-07-29_16h28.40.266,sm,2024.2.4,59.98220927655392,2025-07-29 16h29.02.192553 +0200,
2,0,2,,,,,,space,9.332158199998958,None,None,3,1.1769513999988703,0.2228783000009571,None,0,0,0,0,,,,,0,0,0,0,,,,,2,0,2,0,277.6675771000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Farbe,4.7206,277.65281230000073,277.6533614,277.6534689,277.6675771000009,282.4003730000004,282.3848271000006,282.39128470000105,282.4003730000004,282.4003730000004,282.4003730000004,282.4003730000004,284.4003717000014,284.4003717000014,284.4003717000014,284.4003717000014,284.38476450000053,3,1.1769513999988703,0.2228783000009571,None,,,,,,,,,,,,,,,,,,,,6532,1,2025-07-29_16h28.40.266,sm,2024.2.4,59.98220927655392,2025-07-29 16h29.02.192553 +0200,
3,0,3,,,,,,space,9.332158199998958,None,None,3,1.392320999999356,0.21207630000026256,None,0,0,0,0,,,,,0,0,0,0,,,,,3,0,3,0,284.4003717000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gleis,2.0171,284.3852415000001,284.3857275999999,284.3858269000011,284.4003717000014,286.4168308999997,286.40151610000066,286.40512130000025,286.4168308999997,286.4168308999997,286.4168308999997,286.4168308999997,288.4168580000005,288.4168580000005,288.4168580000005,288.4168580000005,288.40128280000135,3,1.392320999999356,0.21207630000026256,None,,,,,,,,,,,,,,,,,,,,6532,1,2025-07-29_16h28.40.266,sm,2024.2.4,59.98220927655392,2025-07-29 16h29.02.192553 +0200,
4,0,4,,,,,,space,9.332158199998958,None,None,3,1.2366211000007752,0.24275719999968715,None,0,0,0,0,,,,,0,0,0,0,,,,,4,0,4,0,288.4168580000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zapfen,2.1581,288.4017592,288.4023708000004,288.4025464000006,288.4168580000005,290.5835153000007,290.56766750000133,290.57331909999994,290.5835153000007,290.5835153000007,290.5835153000007,290.5835153000007,292.5835106000013,292.5835106000013,292.5835106000013,292.5835106000013,292.56762720000006,3,1.2366211000007752,0.24275719999968715,None,,,,,,,,,,,,,,,,,,,,6532,1,2025-07-29_16h28.40.266,sm,2024.2.4,59.98220927655392,2025-07-29 16h29.02.192553 +0200,
5,0,5,,,,,,space,9.332158199998958,None,None,3,1.7473731999998563,0.20215030000144907,None,0,0,0,0,,,,,0,0,0,0,,,,,5,0,5,0,292.5835106000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange,2.3373,292.5681096999997,292.5685923000001,292.56869430000006,292.5835106000013,294.93295709999984,294.9174914000014,294.92306650000137,294.93295709999984,294.93295709999984,294.93295709999984,294.93295709999984,296.9331290000009,296.9331290000009,296.9331290000009,296.9331290000009,296.9176101000012,3,1.7473731999998563,0.20215030000144907,None,,,,,,,,,,,,,,,,,,,,6532,1,2025-07-29_16h28.40.266,sm,2024.2.4,59.98220927655392,2025-07-29 16h29.02.192553 +0200,
