thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,end_mapping.keys,living_nonliving.rt,living_nonliving.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp__welcome.started,welcome.stopped,key_resp__welcome.keys,key_resp__welcome.rt,key_resp__welcome.duration,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,begin_end_run_cross.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.end_mapping.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,thanks.started,thanks_text.started,thanks_text.stopped,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0034908000016002916,0.017872000000352273,0.017872000000352273,120.05295699999988,space,120.01335019999897,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6896,1,2025-10-23_20h33.52.531,sm,2024.2.4,59.96850454157337,2025-10-23 20h34.07.122200 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.05309879999913,120.06277060000139,120.06277060000139,210.20810300000085,space,90.12808670000231,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6896,1,2025-10-23_20h33.52.531,sm,2024.2.4,59.96850454157337,2025-10-23 20h34.07.122200 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.20821770000111,210.22281660000226,210.22281660000226,217.75733120000223,2,7.521440000000439,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6896,1,2025-10-23_20h33.52.531,sm,2024.2.4,59.96850454157337,2025-10-23 20h34.07.122200 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.75744979999945,217.77243950000047,217.77243950000047,239.02320379999946,2,21.249062299997604,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6896,1,2025-10-23_20h33.52.531,sm,2024.2.4,59.96850454157337,2025-10-23 20h34.07.122200 +0200,
0,0,0,Rasen,Pflege,Mäher,Gras,2.3517,space,12.858856599999854,None,None,None,None,,,0,0,0,0,0,79,79,77,0,0,0,0,0,79,79,36,0,0,0,0,311.1166283999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.02413570000135,239.02492859999984,239.09529020000264,239.09554330000174,239.1000731000022,239.10038820000045,239.12938349999968,239.12958010000148,239.13619430000108,239.1410582999997,239.1410582999997,252.00349930000084,space,12.858856599999854,None,252.00363950000246,252.0204694999993,252.0204694999993,299.1006226000027,None,299.1099606000025,299.11737540000104,299.1159856666675,300.32674079999924,309.10050396666725,310.1074154000016,311.1166283999992,311.1012069000026,Lachen,2.3517,311.10264400000233,311.10341640000115,311.1065462000006,311.1166283999992,313.4833040000012,313.46752969999943,313.4710570000025,313.4833040000012,313.4833040000012,313.4833040000012,313.4833040000012,315.4839197000001,315.4839197000001,315.4839197000001,315.4839197000001,315.4679515000025,None,None,,,,,,,,,,,,,,,,,,,,,,,6896,1,2025-10-23_20h33.52.531,sm,2024.2.4,59.96850454157337,2025-10-23 20h34.07.122200 +0200,
1,0,1,,,,,,space,12.858856599999854,None,None,2,None,0.9697075000003679,0.356973799996922,0,0,0,0,,,,,0,0,0,0,,,,,1,0,1,0,315.4839197000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeigen,2.9398,315.4684393000025,315.46900970000206,315.46911700000055,315.4839197000001,318.4327067000013,318.41747509999914,318.4243535000023,318.4327067000013,318.4327067000013,318.4327067000013,318.4327067000013,320.4332469000001,320.4332469000001,320.4332469000001,320.4332469000001,320.4173035999993,2,None,0.9697075000003679,0.356973799996922,,,,,,,,,,,,,,,,,,,,,6896,1,2025-10-23_20h33.52.531,sm,2024.2.4,59.96850454157337,2025-10-23 20h34.07.122200 +0200,
2,0,2,,,,,,space,12.858856599999854,None,None,3,None,1.0584282000017993,0.2188815000008617,0,0,0,0,,,,,0,0,0,0,,,,,2,0,2,0,320.4332469000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fakt,3.246,320.41779710000264,320.41844050000145,320.4185490000018,320.4332469000001,323.68263600000137,323.6671564999997,323.67269410000154,323.68263600000137,323.68263600000137,323.68263600000137,323.68263600000137,325.68288870000106,325.68288870000106,325.68288870000106,325.68288870000106,325.6672338999997,3,None,1.0584282000017993,0.2188815000008617,,,,,,,,,,,,,,,,,,,,,6896,1,2025-10-23_20h33.52.531,sm,2024.2.4,59.96850454157337,2025-10-23 20h34.07.122200 +0200,
3,0,3,,,,,,space,12.858856599999854,None,None,3,None,1.819305400000303,None,0,0,0,0,,,,,0,0,0,0,,,,,3,0,3,0,325.68288870000106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sack,2.9899,325.66775269999926,325.6682918000006,325.66840109999976,325.68288870000106,328.6823454000005,328.6670649000007,328.6702332999994,328.6823454000005,328.6823454000005,328.6823454000005,328.6823454000005,330.6824256,330.6824256,330.6824256,330.6824256,330.66716350000206,3,None,1.819305400000303,None,,,,,,,,,,,,,,,,,,,,,6896,1,2025-10-23_20h33.52.531,sm,2024.2.4,59.96850454157337,2025-10-23 20h34.07.122200 +0200,
4,0,4,,,,,,space,12.858856599999854,None,None,3,None,1.407896400000027,0.20239489999949,0,0,0,0,,,,,0,0,0,0,,,,,4,0,4,0,330.6824256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Golf,3.6011,330.66768140000204,330.66822859999957,330.6683363000011,330.6824256,334.28221660000054,334.2667576999993,334.27022560000114,334.28221660000054,334.28221660000054,334.28221660000054,334.28221660000054,336.28215470000214,336.28215470000214,336.28215470000214,336.28215470000214,336.26665050000156,3,None,1.407896400000027,0.20239489999949,,,,,,,,,,,,,,,,,,,,,6896,1,2025-10-23_20h33.52.531,sm,2024.2.4,59.96850454157337,2025-10-23 20h34.07.122200 +0200,
5,0,5,,,,,,space,12.858856599999854,None,None,2,None,0.926449099999445,0.3184106000007887,0,0,0,0,,,,,0,0,0,0,,,,,5,0,5,0,336.28215470000214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elephant,2.59,336.2671642999994,336.26767680000194,336.2677898000002,336.28215470000214,338.88231710000036,338.8665132000024,338.87081860000035,338.88231710000036,338.88231710000036,338.88231710000036,338.88231710000036,340.88195629999973,340.88195629999973,340.88195629999973,340.88195629999973,340.86662960000103,2,None,0.926449099999445,0.3184106000007887,,,,,,,,,,,,,,,,,,,,,6896,1,2025-10-23_20h33.52.531,sm,2024.2.4,59.96850454157337,2025-10-23 20h34.07.122200 +0200,
