thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp__welcome.started,welcome.stopped,key_resp__welcome.keys,key_resp__welcome.rt,key_resp__welcome.duration,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,begin_end_run_cross.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,semantic_mapping_run.end_mapping.keys,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,thanks.started,thanks_text.started,thanks_text.stopped,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00373800000124902,0.009053200001289952,0.009053200001289952,155.6133862000006,space,155.5989310999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7228,1,2025-10-31_12h07.02.383,sm,2024.2.4,59.91116372651712,2025-10-31 12h07.14.319014 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.61351380000087,155.6283695000002,155.6283695000002,215.5764820000004,space,59.93207790000088,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7228,1,2025-10-31_12h07.02.383,sm,2024.2.4,59.91116372651712,2025-10-31 12h07.14.319014 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.57659700000113,215.59360410000045,215.59360410000045,226.31087110000044,2,10.71256110000104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7228,1,2025-10-31_12h07.02.383,sm,2024.2.4,59.91116372651712,2025-10-31 12h07.14.319014 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.31098870000096,226.32584680000036,226.32584680000036,236.17705620000015,2,9.834159400001226,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7228,1,2025-10-31_12h07.02.383,sm,2024.2.4,59.91116372651712,2025-10-31 12h07.14.319014 +0100,
0,0,0,Garten,Zwerg,Blumen,Gemüse,3.5834,space,4.552015299999766,None,None,3,1.5426294000008056,0.2684950000002573,None,0,0,0,0,0,79,79,33,0,0,0,0,0,79,79,68,0,0,0,0,299.5052187000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.1779779999997,236.17858870000055,236.2435882000009,236.243852900001,236.2483613000004,236.24863040000128,236.27793070000007,236.2781167000012,236.28474930000084,236.2890008000013,236.2890008000013,240.86029710000003,space,4.552015299999766,None,240.8604524000002,240.87520630000108,240.87520630000108,287.488774200001,None,287.49797690000014,287.50560589999986,287.50402706666705,288.71495719999984,297.4885275666677,298.4951402000006,299.5052187000001,299.4893333,Sand,3.5834,299.49082610000005,299.4914273000013,299.4949555000003,299.5052187000001,303.08821999999964,303.0725452000006,303.0763697000002,303.08821999999964,303.08821999999964,303.08821999999964,303.08821999999964,305.08807870000055,305.08807870000055,305.08807870000055,305.08807870000055,305.0724609000008,3,1.5426294000008056,0.2684950000002573,None,,,,,,,,,,,,,,,,,,,,,7228,1,2025-10-31_12h07.02.383,sm,2024.2.4,59.91116372651712,2025-10-31 12h07.14.319014 +0100,
1,0,1,,,,,,space,4.552015299999766,None,None,3,1.0525168999993184,0.21044280000023718,None,0,0,0,0,,,,,0,0,0,0,,,,,1,0,1,0,305.08807870000055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tube,2.2914,305.0729831999997,305.0736377000012,305.0737413000006,305.08807870000055,307.38787310000043,307.37222330000077,307.3756222000011,307.38787310000043,307.38787310000043,307.38787310000043,307.38787310000043,309.38785559999997,309.38785559999997,309.38785559999997,309.38785559999997,309.3723542000007,3,1.0525168999993184,0.21044280000023718,None,,,,,,,,,,,,,,,,,,,,,7228,1,2025-10-31_12h07.02.383,sm,2024.2.4,59.91116372651712,2025-10-31 12h07.14.319014 +0100,
2,0,2,,,,,,space,4.552015299999766,None,None,3,1.0526112000006833,0.2145340999995824,None,0,0,0,0,,,,,0,0,0,0,,,,,2,0,2,0,309.38785559999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Album,3.0768,309.37287220000144,309.37338699999964,309.37349280000126,309.38785559999997,312.47096240000064,312.4552719000003,312.4603261000011,312.47096240000064,312.47096240000064,312.47096240000064,312.47096240000064,314.4708378000014,314.4708378000014,314.4708378000014,314.4708378000014,314.45522990000063,3,1.0526112000006833,0.2145340999995824,None,,,,,,,,,,,,,,,,,,,,,7228,1,2025-10-31_12h07.02.383,sm,2024.2.4,59.91116372651712,2025-10-31 12h07.14.319014 +0100,
3,0,3,,,,,,space,4.552015299999766,None,None,3,0.7970133000017086,0.2646513999989111,None,0,0,0,0,,,,,0,0,0,0,,,,,3,0,3,0,314.4708378000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spaghetti,2.2676,314.4557467000013,314.45626190000075,314.45636639999975,314.4708378000014,316.7374823000009,316.72178220000023,316.72630070000014,316.7374823000009,316.7374823000009,316.7374823000009,316.7374823000009,318.73728550000124,318.73728550000124,318.73728550000124,318.73728550000124,318.7217314999998,3,0.7970133000017086,0.2646513999989111,None,,,,,,,,,,,,,,,,,,,,,7228,1,2025-10-31_12h07.02.383,sm,2024.2.4,59.91116372651712,2025-10-31 12h07.14.319014 +0100,
4,0,4,,,,,,space,4.552015299999766,None,None,3,0.9137148999998317,0.19000380000034056,None,0,0,0,0,,,,,0,0,0,0,,,,,4,0,4,0,318.73728550000124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weihnachten,2.6164,318.7222429000012,318.7228960000011,318.72300200000063,318.73728550000124,321.3536021,321.33808670000144,321.3424900000009,321.3536021,321.3536021,321.3536021,321.3536021,323.35372389999975,323.35372389999975,323.35372389999975,323.35372389999975,323.3380737000007,3,0.9137148999998317,0.19000380000034056,None,,,,,,,,,,,,,,,,,,,,,7228,1,2025-10-31_12h07.02.383,sm,2024.2.4,59.91116372651712,2025-10-31 12h07.14.319014 +0100,
5,0,5,,,,,,space,4.552015299999766,None,None,2,0.7802036000011867,0.19611949999853096,None,0,0,0,0,,,,,0,0,0,0,,,,,5,0,5,0,323.35372389999975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hase,3.8625,323.33859680000023,323.33912469999996,323.33923030000005,323.35372389999975,327.21980559999975,327.2041403000003,327.20923930000026,327.21980559999975,327.21980559999975,327.21980559999975,327.21980559999975,329.2201065999998,329.2201065999998,329.2201065999998,329.2201065999998,329.2045197000007,2,0.7802036000011867,0.19611949999853096,None,,,,,,,,,,,,,,,,,,,,,7228,1,2025-10-31_12h07.02.383,sm,2024.2.4,59.91116372651712,2025-10-31 12h07.14.319014 +0100,
