thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome_text.stopped,welcome.stopped,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,blank_cross.started,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,semantic_mapping_run.end_mapping.keys,task_break.started,task_break_text.started,task_break_resp.started,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,blank_cross.stopped,PID,Alter,Geschlecht (optional),MRI,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0032538999994358164,0.008852500000102737,3.008131799999319,2.9925979999998162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guess_8294,22,female,1,2025-05-10_11h32.01.600,sm,2024.2.4,59.97015884895574,2025-05-10 11h32.28.212208 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9926900000000387,3.008131799999319,3.008131799999319,7.115828199999669,2,4.095242499999586,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guess_8294,22,female,1,2025-05-10_11h32.01.600,sm,2024.2.4,59.97015884895574,2025-05-10 11h32.28.212208 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.115954099999726,7.12524940000003,7.12524940000003,8.559843399999409,2,1.4314067999994222,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guess_8294,22,female,1,2025-05-10_11h32.01.600,sm,2024.2.4,59.97015884895574,2025-05-10 11h32.28.212208 +0200,
0,0,0,Spinne,Beine,Netz,Schwarz,2.7357,space,10.401843800000279,None,None,3,1.1474967000003744,0.5172013000001243,None,0,0,0,0,0,79,79,18,0,0,0,0,0,79,79,2,0,0,0,0,43.5221176999994,,,,,,,,,,,,,,,,,,,,8.560669099999359,8.561376999999993,8.62401299999965,8.624257200000102,8.62877219999973,8.629064699999617,8.657558399999289,8.657747199999903,8.663798699999461,8.668982099999994,8.668982099999994,19.073741399999562,space,10.401843800000279,None,19.073900200000026,19.091072000000167,19.091072000000167,31.491184699999394,None,31.497435700000096,31.5071625999999,43.506093599999986,Herbst,2.7357,43.50752019999982,43.508293899999444,43.51191159999962,43.5221176999994,46.27285589999974,46.25681159999931,46.2631750999999,46.27285589999974,46.27285589999974,46.27285589999974,46.27285589999974,48.272130899999866,48.272130899999866,48.272130899999866,48.272130899999866,48.25684679999995,3,1.1474967000003744,0.5172013000001243,None,,,,,,,,,Guess_8294,22,female,1,2025-05-10_11h32.01.600,sm,2024.2.4,59.97015884895574,2025-05-10 11h32.28.212208 +0200,
1,0,1,,,,,,space,10.401843800000279,None,None,3,0.8729844999998022,0.34097599999950035,None,0,0,0,0,,,,,0,0,0,0,,,,,1,0,1,0,48.272130899999866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuchen ,2.1949,48.257326799999646,48.25782739999977,48.25792399999955,48.272130899999866,50.47178089999943,50.4562348999998,50.46207879999929,50.47178089999943,50.47178089999943,50.47178089999943,50.47178089999943,52.47384069999953,52.47384069999953,52.47384069999953,52.47384069999953,52.45653839999977,3,0.8729844999998022,0.34097599999950035,None,,,,,,,,,Guess_8294,22,female,1,2025-05-10_11h32.01.600,sm,2024.2.4,59.97015884895574,2025-05-10 11h32.28.212208 +0200,
2,0,2,,,,,,space,10.401843800000279,None,None,3,0.7427453999998761,0.25771700000041164,None,0,0,0,0,,,,,0,0,0,0,,,,,2,0,2,0,52.47384069999953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schlüssel,3.0127,52.457029899999725,52.4575562,52.45766360000016,52.47384069999953,55.488149599999815,55.472622399999636,55.47672770000008,55.488149599999815,55.488149599999815,55.488149599999815,55.488149599999815,57.48815669999931,57.48815669999931,57.48815669999931,57.48815669999931,57.472694899999624,3,0.7427453999998761,0.25771700000041164,None,,,,,,,,,Guess_8294,22,female,1,2025-05-10_11h32.01.600,sm,2024.2.4,59.97015884895574,2025-05-10 11h32.28.212208 +0200,
3,0,3,,,,,,space,10.401843800000279,None,None,3,0.939548599999398,0.2426848000004611,None,0,0,0,0,,,,,0,0,0,0,,,,,3,0,3,0,57.48815669999931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arbeit,2.4167,57.47318649999943,57.47385679999934,57.47396140000001,57.48815669999931,59.90481180000006,59.88892719999967,59.892660099999375,59.90481180000006,59.90481180000006,59.90481180000006,59.90481180000006,61.90470899999946,61.90470899999946,61.90470899999946,61.90470899999946,61.88899539999966,3,0.939548599999398,0.2426848000004611,None,,,,,,,,,Guess_8294,22,female,1,2025-05-10_11h32.01.600,sm,2024.2.4,59.97015884895574,2025-05-10 11h32.28.212208 +0200,
4,0,4,,,,,,space,10.401843800000279,None,None,3,0.7201826000000437,0.22746160000042437,None,0,0,0,0,,,,,0,0,0,0,,,,,4,0,4,0,61.90470899999946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tasche,2.8516,61.88949270000012,61.89001359999929,61.890121099999305,61.90470899999946,64.77088409999942,64.75542349999978,64.76080189999993,64.77088409999942,64.77088409999942,64.77088409999942,64.77088409999942,66.77116990000013,66.77116990000013,66.77116990000013,66.77116990000013,66.75540209999963,3,0.7201826000000437,0.22746160000042437,None,,,,,,,,,Guess_8294,22,female,1,2025-05-10_11h32.01.600,sm,2024.2.4,59.97015884895574,2025-05-10 11h32.28.212208 +0200,
5,0,5,,,,,,space,10.401843800000279,None,None,2,0.8415746999999101,0.251689499999884,None,0,0,0,0,,,,,0,0,0,0,,,,,5,0,5,0,66.77116990000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kopf,3.6723,66.75589249999939,66.75653969999985,66.75664710000001,66.77116990000013,70.45401989999937,70.43838899999992,70.4417257999994,70.45401989999937,70.45401989999937,70.45401989999937,70.45401989999937,72.4539734,72.4539734,72.4539734,72.4539734,72.43845899999997,2,0.8415746999999101,0.251689499999884,None,,,,,,,,,Guess_8294,22,female,1,2025-05-10_11h32.01.600,sm,2024.2.4,59.97015884895574,2025-05-10 11h32.28.212208 +0200,
6,0,6,,,,,,space,10.401843800000279,None,None,2,0.7260991000002832,0.2692104999996445,None,0,0,0,0,,,,,0,0,0,0,,,,,6,0,6,0,72.4539734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nase,2.0168,72.43895429999975,72.43947750000007,72.43959349999932,72.4539734,74.47056710000015,74.45487189999949,74.45861569999943,74.47056710000015,74.47056710000015,74.47056710000015,74.47056710000015,76.4708187999995,76.4708187999995,76.4708187999995,76.4708187999995,76.45500230000016,2,0.7260991000002832,0.2692104999996445,None,,,,,,,,,Guess_8294,22,female,1,2025-05-10_11h32.01.600,sm,2024.2.4,59.97015884895574,2025-05-10 11h32.28.212208 +0200,
