thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,end_mapping.keys,living_nonliving.rt,living_nonliving.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp__welcome.started,welcome.stopped,key_resp__welcome.keys,key_resp__welcome.rt,key_resp__welcome.duration,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.end_mapping.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,begin_end_run_cross.stopped,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,thanks.started,thanks_text.started,thanks_text.stopped,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0035352000004422734,0.0162239999999656,0.0162239999999656,61.22146679999969,space,61.19277809999949,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8752,1,2025-06-25_19h05.37.345,sm,2024.2.4,59.97375548450806,2025-06-25 19h05.45.898143 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.221588899999915,61.23059420000027,61.23059420000027,161.8761783,space,100.63297430000057,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8752,1,2025-06-25_19h05.37.345,sm,2024.2.4,59.97375548450806,2025-06-25 19h05.45.898143 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.8763097000001,161.89079680000032,161.89079680000032,170.10684540000057,2,8.213534299999992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8752,1,2025-06-25_19h05.37.345,sm,2024.2.4,59.97375548450806,2025-06-25 19h05.45.898143 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.10696050000024,170.1220433999997,170.1220433999997,182.42288840000037,2,12.289900400000079,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8752,1,2025-06-25_19h05.37.345,sm,2024.2.4,59.97375548450806,2025-06-25 19h05.45.898143 +0200,
0,0,0,Vampir,Monster,Blut,Fledermaus,2.3253,space,2.3801977000002807,None,None,None,None,,,0,0,0,0,0,79,79,74,0,0,0,0,0,79,79,7,0,0,0,0,243.7193397000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.42379059999985,182.4245923999997,182.49336310000035,182.49363129999983,182.49810460000026,182.4983855999999,182.5288440000004,182.5290369000004,182.53565499999968,182.53958609999972,182.53958609999972,184.92272839999987,space,2.3801977000002807,None,184.92288110000027,184.9397583,184.9397583,231.6884187000005,None,231.69725610000023,231.70619700000043,231.7037971666671,232.90340790000027,241.70321276666644,242.70428040000024,243.70307830000002,Feier,2.3253,243.7045005,243.7051908000003,243.7084789999999,243.7193397000001,246.05233880000014,246.0369412,246.04273590000048,246.05233880000014,246.05233880000014,246.05233880000014,246.05233880000014,248.05256310000004,248.05256310000004,248.05256310000004,248.05256310000004,248.03695590000007,None,None,,,,,,,,,,,,,,,,,,,,,,,,8752,1,2025-06-25_19h05.37.345,sm,2024.2.4,59.97375548450806,2025-06-25 19h05.45.898143 +0200,
1,0,1,,,,,,space,2.3801977000002807,None,None,2,None,0.945095200000651,0.2961427999998705,0,0,0,0,,,,,0,0,0,0,,,,,1,0,1,0,248.05256310000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Löwe,2.3409,248.03743219999978,248.03800909999973,248.03811589999987,248.05256310000004,250.40258950000043,250.38680290000048,250.3914563999997,250.40258950000043,250.40258950000043,250.40258950000043,250.40258950000043,252.40246560000014,252.40246560000014,252.40246560000014,252.40246560000014,252.38700750000044,2,None,0.945095200000651,0.2961427999998705,,,,,,,,,,,,,,,,,,,,,,8752,1,2025-06-25_19h05.37.345,sm,2024.2.4,59.97375548450806,2025-06-25 19h05.45.898143 +0200,
2,0,2,,,,,,space,2.3801977000002807,None,None,2,None,0.7413140999997267,0.35999489999994694,0,0,0,0,,,,,0,0,0,0,,,,,2,0,2,0,252.40246560000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bruder,4.2007,252.38751890000003,252.3880353000004,252.38814340000044,252.40246560000014,256.61863110000013,256.60293900000033,256.60628989999987,256.61863110000013,256.61863110000013,256.61863110000013,256.61863110000013,258.61855430000014,258.61855430000014,258.61855430000014,258.61855430000014,258.6033760999999,2,None,0.7413140999997267,0.35999489999994694,,,,,,,,,,,,,,,,,,,,,,8752,1,2025-06-25_19h05.37.345,sm,2024.2.4,59.97375548450806,2025-06-25 19h05.45.898143 +0200,
3,0,3,,,,,,space,2.3801977000002807,None,None,2,None,1.1846712999995361,0.3061500000003434,0,0,0,0,,,,,0,0,0,0,,,,,3,0,3,0,258.61855430000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schleim,3.627,258.60388280000006,258.60446820000016,258.6045761000005,258.61855430000014,262.25140980000015,262.23603600000024,262.23945449999974,262.25140980000015,262.25140980000015,262.25140980000015,262.25140980000015,264.2515684,264.2515684,264.2515684,264.2515684,264.23613470000055,2,None,1.1846712999995361,0.3061500000003434,,,,,,,,,,,,,,,,,,,,,,8752,1,2025-06-25_19h05.37.345,sm,2024.2.4,59.97375548450806,2025-06-25 19h05.45.898143 +0200,
4,0,4,,,,,,space,2.3801977000002807,None,None,2,None,0.7040473999995811,0.2942609000001539,0,0,0,0,,,,,0,0,0,0,,,,,4,0,4,0,264.2515684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Publikum,3.3562,264.23664720000033,264.2371567,264.23727000000054,264.2515684,267.6176746000001,267.6024118000005,267.6084216999998,267.6176746000001,267.6176746000001,267.6176746000001,267.6176746000001,269.6180108999997,269.6180108999997,269.6180108999997,269.6180108999997,269.60243309999987,2,None,0.7040473999995811,0.2942609000001539,,,,,,,,,,,,,,,,,,,,,,8752,1,2025-06-25_19h05.37.345,sm,2024.2.4,59.97375548450806,2025-06-25 19h05.45.898143 +0200,
5,0,5,,,,,,space,2.3801977000002807,None,None,2,None,0.8313251999998101,0.2991857999995773,0,0,0,0,,,,,0,0,0,0,,,,,5,0,5,0,269.6180108999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nachricht,2.6556,269.60294760000033,269.6034368999999,269.6035431,269.6180108999997,272.2847862999997,272.26871670000037,272.2727630999998,272.2847862999997,272.2847862999997,272.2847862999997,272.2847862999997,274.28439849999995,274.28439849999995,274.28439849999995,274.28439849999995,274.26871329999994,2,None,0.8313251999998101,0.2991857999995773,,,,,,,,,,,,,,,,,,,,,,8752,1,2025-06-25_19h05.37.345,sm,2024.2.4,59.97375548450806,2025-06-25 19h05.45.898143 +0200,
