thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,end_mapping.keys,living_nonliving.rt,living_nonliving.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome_text.stopped,welcome.stopped,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.end_mapping.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,task_break_text.started,task_break_resp.started,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,begin_end_run_cross.stopped,thanks.started,thanks_text.started,thanks_text.stopped,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004040599999825645,0.015483899999708228,3.016063199999735,3.0004986000003555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9378,1,2025-05-19_13h59.52.039,sm,2024.2.4,59.916979033820574,2025-05-19 14h02.47.158289 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.000589299999774,3.016063199999735,3.016063199999735,107.0677453999997,space,104.03353680000055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9378,1,2025-05-19_13h59.52.039,sm,2024.2.4,59.916979033820574,2025-05-19 14h02.47.158289 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.06786769999962,107.07644869999967,107.07644869999967,122.84225969999989,2,15.759134000000813,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9378,1,2025-05-19_13h59.52.039,sm,2024.2.4,59.916979033820574,2025-05-19 14h02.47.158289 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.8423899999998,122.85902549999992,122.85902549999992,134.0599917999998,2,11.182627700000012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9378,1,2025-05-19_13h59.52.039,sm,2024.2.4,59.916979033820574,2025-05-19 14h02.47.158289 +0200,
0,0,0,Zahnpasta,Gel,Bürste,Tube,2.7357,space,4.1070431000007375,None,None,None,None,,,0,0,0,0,0,79,79,57,0,0,0,0,0,79,79,2,0,0,0,0,194.88774130000002,,,,,,,,,,,,,,,,,,,,,,,,,,,134.06083000000035,134.06138180000016,134.12609919999977,134.12636269999985,134.13079840000046,134.1310964000004,134.16126340000028,134.1615238000004,134.16818039999998,134.17522989999998,134.17522989999998,138.29171659999975,space,4.1070431000007375,None,138.29187999999976,138.3080918000005,138.3080918000005,182.85687020000023,None,182.8659176000001,182.8747284000001,182.87226906666663,184.0764992000004,192.87181466666632,193.8765411000004,194.87185099999988,Koch,2.7357,194.87329210000007,194.87399040000037,194.87730040000042,194.88774130000002,197.63837859999967,197.6223614999999,197.6285684000004,197.63837859999967,197.63837859999967,197.63837859999967,197.63837859999967,199.63770579999982,199.63770579999982,199.63770579999982,199.63770579999982,199.6221674999997,None,None,,,,,,,,,,,,,,,,,,,,,,9378,1,2025-05-19_13h59.52.039,sm,2024.2.4,59.916979033820574,2025-05-19 14h02.47.158289 +0200,
1,0,1,,,,,,space,4.1070431000007375,None,None,2,None,1.8704032999994524,None,0,0,0,0,,,,,0,0,0,0,,,,,1,0,1,0,199.63770579999982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weinen,3.6615,199.62264179999966,199.6232955000005,199.62341040000047,199.63770579999982,203.30417469999975,203.28866579999976,203.29335549999996,203.30417469999975,203.30417469999975,203.30417469999975,203.30417469999975,205.3039834000001,205.3039834000001,205.3039834000001,205.3039834000001,205.28859710000052,2,None,1.8704032999994524,None,,,,,,,,,,,,,,,,,,,,9378,1,2025-05-19_13h59.52.039,sm,2024.2.4,59.916979033820574,2025-05-19 14h02.47.158289 +0200,
2,0,2,,,,,,space,4.1070431000007375,None,None,None,None,,,0,0,0,0,,,,,0,0,0,0,,,,,2,0,2,0,205.3039834000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sicherheit,2.5169,205.2891085000001,205.28966039999978,205.2897724000004,205.3039834000001,207.82112310000048,207.80488650000007,207.8094271,207.82112310000048,207.82112310000048,207.82112310000048,207.82112310000048,209.82069769999998,209.82069769999998,209.82069769999998,209.82069769999998,209.80515300000025,None,None,,,,,,,,,,,,,,,,,,,,,,9378,1,2025-05-19_13h59.52.039,sm,2024.2.4,59.916979033820574,2025-05-19 14h02.47.158289 +0200,
3,0,3,,,,,,space,4.1070431000007375,None,None,3,None,1.5408864999999423,0.2898897000004581,0,0,0,0,,,,,0,0,0,0,,,,,3,0,3,0,209.82069769999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gleis,2.0052,209.80562540000028,209.8061944000001,209.80630930000007,209.82069769999998,211.83733349999966,211.82131190000018,211.82550700000047,211.83733349999966,211.83733349999966,211.83733349999966,211.83733349999966,213.83691550000003,213.83691550000003,213.83691550000003,213.83691550000003,213.8213338000005,3,None,1.5408864999999423,0.2898897000004581,,,,,,,,,,,,,,,,,,,,9378,1,2025-05-19_13h59.52.039,sm,2024.2.4,59.916979033820574,2025-05-19 14h02.47.158289 +0200,
4,0,4,,,,,,space,4.1070431000007375,None,None,2,None,1.8158927999993466,None,0,0,0,0,,,,,0,0,0,0,,,,,4,0,4,0,213.83691550000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feld,2.9645,213.82183749999967,213.82248679999975,213.82259460000023,213.83691550000003,216.80348330000015,216.7882182000003,216.79424560000007,216.80348330000015,216.80348330000015,216.80348330000015,216.80348330000015,218.80339999999978,218.80339999999978,218.80339999999978,218.80339999999978,218.7881256999999,2,None,1.8158927999993466,None,,,,,,,,,,,,,,,,,,,,9378,1,2025-05-19_13h59.52.039,sm,2024.2.4,59.916979033820574,2025-05-19 14h02.47.158289 +0200,
5,0,5,,,,,,space,4.1070431000007375,None,None,None,None,,,0,0,0,0,,,,,0,0,0,0,,,,,5,0,5,0,218.80339999999978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trennung,2.0934,218.7886398999999,218.7893114999997,218.7894240000005,218.80339999999978,220.90309760000036,220.88751839999986,220.89140099999986,220.90309760000036,220.90309760000036,220.90309760000036,220.90309760000036,222.90308280000045,222.90308280000045,222.90308280000045,222.90308280000045,222.88776080000025,None,None,,,,,,,,,,,,,,,,,,,,,,9378,1,2025-05-19_13h59.52.039,sm,2024.2.4,59.916979033820574,2025-05-19 14h02.47.158289 +0200,
