guess_condition,thisN,thisTrialN,thisRepN,iti,cue,target,end_guess.keys,guess_reached.keys,end_encoding.keys,guess_reached.rt,guess_reached.duration,task_break_resp.keys,scanner_ready_press.keys,skip_trigger.keys,task_break_resp.rt,task_break_resp.duration,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.rt,skip_trigger.duration,guess_conditions.thisRepN,guess_conditions.thisTrialN,guess_conditions.thisN,guess_conditions.thisIndex,iti_learning.thisRepN,iti_learning.thisTrialN,iti_learning.thisN,iti_learning.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,recall_practice.thisRepN,recall_practice.thisTrialN,recall_practice.thisN,recall_practice.thisIndex,end_cued_recall.keys,recall_reached.keys,thisRow.t,notes,welcome.started,welcome_text.started,welcome.stopped,load_guess_conditions.started,load_guess_conditions.stopped,load_iti.started,load_iti.stopped,instructions1.started,instructions1_text.started,instruction1_key.started,instructions1.stopped,instruction1_key.keys,instruction1_key.rt,instruction1_key.duration,instructions2.started,instructions2_text.started,instruction2_key.started,instructions2.stopped,instruction2_key.keys,instruction2_key.rt,instruction2_key.duration,instructions3.started,instructions3_text.started,instruction3_key.started,instructions3.stopped,instruction3_key.keys,instruction3_key.rt,instruction3_key.duration,instructions4.started,instructions4_text.started,instruction4_key.started,instructions4.stopped,instruction4_key.keys,instruction4_key.rt,instruction4_key.duration,instructions5.started,instructions5_text.started,instruction5_key.started,instructions5.stopped,instruction5_key.keys,instruction5_key.rt,instruction5_key.duration,iti_learning_practice.started,iti_practice_blank.started,iti_learning_practice.stopped,guess.started,guess.stopped,practice_trials.end_guess.keys,guess_response.started,guess_response.stopped,practice_trials.guess_reached.keys,feedback_guess.started,no_response_feedback.started,no_response_feedback.stopped,feedback_guess.stopped,guess_delay.started,guess_delay.stopped,trial_type,encode.started,dash_stim_learning.started,cue_stim_learning.started,target_stim.started,end_encoding.started,encode.stopped,practice_trials.end_encoding.keys,dash_stim_guessing.started,cue_stim_guessing.started,guess_stim.started,end_guess.started,dash_stim_guessing.stopped,cue_stim_guessing.stopped,guess_stim.stopped,end_guess.stopped,dash_stim_guessing_resp.started,cue_stim_guessing_resp.started,guess_stim_resp.started,guess_question.started,guess_reached.started,dash_stim_guessing_resp.stopped,cue_stim_guessing_resp.stopped,guess_stim_resp.stopped,guess_question.stopped,guess_reached.stopped,guess_delay_cross.started,guess_delay_cross.stopped,dash_stim_learning.stopped,cue_stim_learning.stopped,target_stim.stopped,end_encoding.stopped,iti_practice_blank.stopped,practice_trials.guess_reached.rt,practice_trials.guess_reached.duration,start_task.started,start_task_text.started,start_key.started,start_task.stopped,start_key.keys,start_key.rt,start_key.duration,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,begin_run.started,begin_run_cross.started,begin_run_cross.stopped,begin_run.stopped,setup_learning_trial.started,setup_learning_trial.stopped,learning_trials.end_guess.keys,learning_trials.guess_reached.keys,learning_trials.end_encoding.keys,iti_task.started,iti_cross.started,iti_cross.stopped,iti_task.stopped,task_break.started,task_break.stopped,learning_trials.task_break_resp.keys,learning_trials.scanner_ready_press.keys,learning_trials.skip_trigger.keys,learning_trials.guess_reached.rt,learning_trials.guess_reached.duration,end_run_cross.started,task_break_text.started,task_break_resp.started,end_run_cross.stopped,learning_trials.task_break_resp.rt,learning_trials.task_break_resp.duration,learning_trials.scanner_ready_press.rt,learning_trials.scanner_ready_press.duration,learning_trials.skip_trigger.rt,learning_trials.skip_trigger.duration,end_part1.started,end_part1_key.started,end_part1_text.started,end_part1.stopped,end_part1_key.keys,end_part1_key.rt,end_part1_key.duration,instructions_recall1.started,recall_instructions1_text.started,recall_instructions1_key.started,instructions_recall1.stopped,recall_instructions1_key.keys,recall_instructions1_key.rt,recall_instructions1_key.duration,instructions_recall2.started,recall_instructions1_text_2.started,recall_instructions1_key_2.started,instructions_recall2.stopped,recall_instructions1_key_2.keys,recall_instructions1_key_2.rt,recall_instructions1_key_2.duration,iti_recall_practice.started,iti_recall_practice_cross.started,iti_recall_practice_cross.stopped,iti_recall_practice.stopped,cued_recall.started,cue_stim_recall.started,dash_stim_recall.started,qmark_target.started,end_cued_recall.started,cue_stim_recall.stopped,dash_stim_recall.stopped,qmark_target.stopped,end_cued_recall.stopped,cued_recall.stopped,recall_practice.end_cued_recall.keys,recall_response.started,dash_stim_recall_resp.started,cue_stim_recall_resp.started,recall_stim_resp.started,recall_question.started,recall_reached.started,dash_stim_recall_resp.stopped,cue_stim_recall_resp.stopped,recall_stim_resp.stopped,recall_question.stopped,recall_reached.stopped,recall_response.stopped,recall_practice.recall_reached.keys,ID-Nummer,Alter,Geschlecht (optional),date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004130100132897496,0.020315299974754453,3.0049883001483977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,t,t,2025-04-02_11h14.45.452,guess,2024.2.4,59.995632312647594,2025-04-02 11h14.54.410591 +0200,
Read,79,79,0,7.5,,,,,,,,,,,,,,,,,0,79,79,66,0,79,79,26,,,,,,,,,,,,,,,3.0366148999892175,,,,,3.0167129000183195,3.0167708001099527,3.0276468000374734,3.0277072000317276,3.0277213000226766,3.0366148999892175,3.0366148999892175,9.540489200036973,space,6.491308399941772,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,t,t,2025-04-02_11h14.45.452,guess,2024.2.4,59.995632312647594,2025-04-02 11h14.54.410591 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5405286999885,9.553686400176957,9.553686400176957,17.85753110004589,space,8.286584599874914,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,t,t,2025-04-02_11h14.45.452,guess,2024.2.4,59.995632312647594,2025-04-02 11h14.54.410591 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.857577900169417,17.870615700026974,17.870615700026974,19.190995800076053,space,1.3135456999298185,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,t,t,2025-04-02_11h14.45.452,guess,2024.2.4,59.995632312647594,2025-04-02 11h14.54.410591 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.191050900146365,19.204081499949098,19.204081499949098,20.875575399957597,space,1.6677359999157488,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,t,t,2025-04-02_11h14.45.452,guess,2024.2.4,59.995632312647594,2025-04-02 11h14.54.410591 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.875630000140518,20.887483400059864,20.887483400059864,21.473388700047508,space,0.5764713999815285,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,t,t,2025-04-02_11h14.45.452,guess,2024.2.4,59.995632312647594,2025-04-02 11h14.54.410591 +0200,
,0,0,0,,Frühstück,Brot,None,None,None,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,21.486796000041068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.47744520008564,21.486796000041068,23.473811300005764,23.476089800009504,23.476129400078207,None,23.477299900026992,23.477328500011936,None,23.478766900021583,23.48686089995317,23.503550300141796,23.48815380013548,23.48817150015384,23.48818580014631,Read,23.48956190003082,23.503550300141796,23.503550300141796,23.503550300141796,23.503550300141796,26.489362900145352,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,t,t,2025-04-02_11h14.45.452,guess,2024.2.4,59.995632312647594,2025-04-02 11h14.54.410591 +0200,
,1,1,0,,Wand,Fenster,None,None,None,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,26.503891000058502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.48949609999545,26.503891000058502,28.4905581001658,28.492674400098622,31.490985000040382,None,31.492513100150973,32.99069380015135,None,32.990757200168446,33.00433440017514,34.503801400074735,34.489728700136766,34.489765299949795,37.49102369998582,Guess,37.494155100081116,37.50358840008266,37.50358840008266,37.50358840008266,37.50358840008266,40.49040520004928,None,28.50365720014088,28.50365720014088,28.50365720014088,28.50365720014088,31.503573500085622,31.503573500085622,31.503573500085622,31.503573500085622,31.503573500085622,31.503573500085622,31.503573500085622,31.503573500085622,31.503573500085622,33.00433440017514,33.00433440017514,33.00433440017514,33.00433440017514,33.00433440017514,34.503801400074735,37.50358840008266,40.50389000005089,40.50389000005089,40.50389000005089,40.50389000005089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,t,t,2025-04-02_11h14.45.452,guess,2024.2.4,59.995632312647594,2025-04-02 11h14.54.410591 +0200,
,2,2,0,,Park,Baum,None,1,None,0.7608070999849588,0.20850099995732307,,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,40.50389000005089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.49056600010954,40.50389000005089,42.491089100018144,42.49264320009388,45.489966799970716,None,45.49130710004829,46.98914770013653,1,46.991641900036484,47.003942399984226,48.50385470013134,48.48949209996499,48.489523000083864,51.49085199995898,Guess,51.49337200005539,51.503661000169814,51.503661000169814,51.503661000169814,51.503661000169814,54.49038269999437,None,42.50396700017154,42.50396700017154,42.50396700017154,42.50396700017154,45.50373630016111,45.50373630016111,45.50373630016111,45.50373630016111,45.50373630016111,45.50373630016111,45.50373630016111,45.50373630016111,45.50373630016111,47.003942399984226,47.003942399984226,47.003942399984226,47.003942399984226,47.003942399984226,48.50385470013134,51.503661000169814,54.504195200046524,54.504195200046524,54.504195200046524,54.504195200046524,42.50396700017154,0.7608070999849588,0.20850099995732307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,t,t,2025-04-02_11h14.45.452,guess,2024.2.4,59.995632312647594,2025-04-02 11h14.54.410591 +0200,
,3,3,0,,Hund,Pfote,None,None,None,,,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,54.504195200046524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.49056460009888,54.504195200046524,56.4899172000587,56.491340999957174,56.49137019994669,None,56.49227950000204,56.49230549996719,None,56.493766700150445,56.503485300112516,56.520588899962604,56.504889599978924,56.504906699992716,56.50491930008866,Read,56.50678270007484,56.520588899962604,56.520588899962604,56.520588899962604,56.520588899962604,59.50758490012959,None,,,,,,,,,,,,,,,,,,,,,,,,,56.503485300112516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,t,t,2025-04-02_11h14.45.452,guess,2024.2.4,59.995632312647594,2025-04-02 11h14.54.410591 +0200,
