thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,end_mapping.keys,living_nonliving.rt,living_nonliving.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome_text.stopped,welcome.stopped,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,blank_cross.started,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.end_mapping.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,task_break.started,task_break_text.started,task_break_resp.started,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,blank_cross.stopped,thanks.started,thanks_text.started,thanks_text.stopped,thanks.stopped,PID,Alter,Geschlecht (optional),MRI,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0032785000003059395,0.013265900000078545,3.013988900000186,2.9983229999998002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guess_3415,20,female,1,2025-05-07_19h02.04.177,sm,2024.2.4,59.99991600024196,2025-05-07 19h02.24.937421 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9984143000001495,3.013988900000186,3.013988900000186,7.336570499999652,2,4.305895399999827,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guess_3415,20,female,1,2025-05-07_19h02.04.177,sm,2024.2.4,59.99991600024196,2025-05-07 19h02.24.937421 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.336706699999922,7.347240299999612,7.347240299999612,19.348779599999943,2,11.98253129999921,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guess_3415,20,female,1,2025-05-07_19h02.04.177,sm,2024.2.4,59.99991600024196,2025-05-07 19h02.24.937421 +0200,
0,0,0,Frieden,Harmonie,Liebe,Krieg,2.9109,space,475.2156963000007,None,None,None,None,,,0,0,0,0,0,59,59,1,0,0,0,0,0,79,79,6,0,0,0,0,519.3011071999999,,,,,,,,,,,,,,,,,,,,19.34958809999989,19.350366300000132,19.401608099999976,19.40181080000002,19.405996100000266,19.406335599999693,19.43298010000035,19.433136999999988,19.439276500000233,19.444100400000025,19.444100400000025,494.66920759999994,space,475.2156963000007,None,494.66940590000013,494.6858997999998,494.6858997999998,507.2702148999997,None,507.2774215999998,507.28590189999977,519.2849284000004,Ausflug,2.9109,519.2864250000002,519.2872761999997,519.2905882000005,519.3011071999999,522.2170255999999,522.2020308000001,522.2067737999996,522.2170255999999,522.2170255999999,522.2170255999999,522.2170255999999,524.2176333999996,524.2176333999996,524.2176333999996,524.2176333999996,524.2018644999998,None,None,,,,,,,,,,,,,,,Guess_3415,20,female,1,2025-05-07_19h02.04.177,sm,2024.2.4,59.99991600024196,2025-05-07 19h02.24.937421 +0200,
1,0,1,,,,,,space,475.2156963000007,None,None,None,None,,,0,0,0,0,,,,,0,0,0,0,,,,,1,0,1,0,524.2176333999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Komödie,2.4167,524.2023680000002,524.2029292999996,524.2030347,524.2176333999996,526.6343653000004,526.6183854999999,526.6247065999996,526.6343653000004,526.6343653000004,526.6343653000004,526.6343653000004,528.6338249,528.6338249,528.6338249,528.6338249,528.6186703000003,None,None,,,,,,,,,,,,,,,Guess_3415,20,female,1,2025-05-07_19h02.04.177,sm,2024.2.4,59.99991600024196,2025-05-07 19h02.24.937421 +0200,
2,0,2,,,,,,space,475.2156963000007,None,None,None,None,,,0,0,0,0,,,,,0,0,0,0,,,,,2,0,2,0,528.6338249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blumen,2.3599,528.6191318000001,528.6196436,528.6197502000005,528.6338249,531.0001900999996,530.9849162,530.9889731000003,531.0001900999996,531.0001900999996,531.0001900999996,531.0001900999996,533.0007837000003,533.0007837000003,533.0007837000003,533.0007837000003,532.9847264999999,None,None,,,,,,,,,,,,,,,Guess_3415,20,female,1,2025-05-07_19h02.04.177,sm,2024.2.4,59.99991600024196,2025-05-07 19h02.24.937421 +0200,
3,0,3,,,,,,space,475.2156963000007,None,None,None,None,,,0,0,0,0,,,,,0,0,0,0,,,,,3,0,3,0,533.0007837000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soße,2.9645,532.9851866999998,532.9857696999998,532.9858753999997,533.0007837000003,535.9667626999999,535.9512776000001,535.9576895,535.9667626999999,535.9667626999999,535.9667626999999,535.9667626999999,537.9665777,537.9665777,537.9665777,537.9665777,537.9510799,None,None,,,,,,,,,,,,,,,Guess_3415,20,female,1,2025-05-07_19h02.04.177,sm,2024.2.4,59.99991600024196,2025-05-07 19h02.24.937421 +0200,
4,0,4,,,,,,space,475.2156963000007,None,None,None,None,,,0,0,0,0,,,,,0,0,0,0,,,,,4,0,4,0,537.9665777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reifen,2.6312,537.9515343000003,537.9521390999998,537.9523022000003,537.9665777,540.5994989000001,540.5844741999999,540.5879987999997,540.5994989000001,540.5994989000001,540.5994989000001,540.5994989000001,542.5997605000002,542.5997605000002,542.5997605000002,542.5997605000002,542.5840791,None,None,,,,,,,,,,,,,,,Guess_3415,20,female,1,2025-05-07_19h02.04.177,sm,2024.2.4,59.99991600024196,2025-05-07 19h02.24.937421 +0200,
5,0,5,,,,,,space,475.2156963000007,None,None,None,None,,,0,0,0,0,,,,,0,0,0,0,,,,,5,0,5,0,542.5997605000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gast,4.5524,542.5845404000002,542.5850505999997,542.5851561,542.5997605000002,547.1664827000004,547.1491446999999,547.1509016,547.1664827000004,547.1664827000004,547.1664827000004,547.1664827000004,,,,,549.1499647,None,None,,,,,,,,,,,,,,,Guess_3415,20,female,1,2025-05-07_19h02.04.177,sm,2024.2.4,59.99991600024196,2025-05-07 19h02.24.937421 +0200,
6,0,6,,,,,,space,475.2156963000007,None,None,3,None,1.264749799999663,0.2919755000002624,0,0,0,0,,,,,0,0,0,0,,,,,6,0,6,0,549.1665106999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sprechen,2.7992,549.1503401,549.1510299000001,549.1511194000004,549.1665106999999,551.9661803999998,551.9495362999996,551.9535895999998,551.9661803999998,551.9661803999998,551.9661803999998,551.9661803999998,553.9655604999998,553.9655604999998,553.9655604999998,553.9655604999998,553.9503316999999,3,None,1.264749799999663,0.2919755000002624,,,,,,,,,,,,,Guess_3415,20,female,1,2025-05-07_19h02.04.177,sm,2024.2.4,59.99991600024196,2025-05-07 19h02.24.937421 +0200,
7,0,7,,,,,,space,475.2156963000007,None,None,2,None,1.1391985000000204,0.3700588000001517,0,0,0,0,,,,,0,0,0,0,,,,,7,0,7,0,553.9655604999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaf,2.7357,553.9508254000002,553.9515025000001,553.9516119,553.9655604999998,556.7153076000004,556.6997283000001,556.7044146999997,556.7153076000004,556.7153076000004,556.7153076000004,556.7153076000004,558.7154069999997,558.7154069999997,558.7154069999997,558.7154069999997,558.6999408000001,2,None,1.1391985000000204,0.3700588000001517,,,,,,,,,,,,,Guess_3415,20,female,1,2025-05-07_19h02.04.177,sm,2024.2.4,59.99991600024196,2025-05-07 19h02.24.937421 +0200,
8,0,8,,,,,,space,475.2156963000007,None,None,3,None,0.9860210000006191,0.43674969999938185,0,0,0,0,,,,,0,0,0,0,,,,,8,0,8,0,558.7154069999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aroma,2.1743,558.7004067999997,558.7010535999998,558.7011584000002,558.7154069999997,560.8984988000002,560.8830402000003,560.8871489000003,560.8984988000002,560.8984988000002,560.8984988000002,560.8984988000002,562.8985485000003,562.8985485000003,562.8985485000003,562.8985485000003,562.8829500000002,3,None,0.9860210000006191,0.43674969999938185,,,,,,,,,,,,,Guess_3415,20,female,1,2025-05-07_19h02.04.177,sm,2024.2.4,59.99991600024196,2025-05-07 19h02.24.937421 +0200,
