thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,end_mapping.keys,living_nonliving.rt,living_nonliving.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome.stopped,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.end_mapping.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,task_break_text.started,task_break_resp.started,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,begin_end_run_cross.stopped,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,thanks.started,thanks_text.started,thanks_text.stopped,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003923199999917415,0.013246600000456965,3.006746099999873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4626,1,2025-05-21_18h49.54.569,sm,2024.2.4,59.904165316333255,2025-05-21 18h50.14.385115 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.006836900000053,3.0229295999997703,3.0229295999997703,86.22605230000045,space,83.19101740000042,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4626,1,2025-05-21_18h49.54.569,sm,2024.2.4,59.904165316333255,2025-05-21 18h50.14.385115 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.22616899999957,86.23473360000025,86.23473360000025,121.99913639999977,5,35.76034559999971,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4626,1,2025-05-21_18h49.54.569,sm,2024.2.4,59.904165316333255,2025-05-21 18h50.14.385115 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.99931180000021,122.01581700000042,122.01581700000042,130.86740720000034,2,8.84436310000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4626,1,2025-05-21_18h49.54.569,sm,2024.2.4,59.904165316333255,2025-05-21 18h50.14.385115 +0200,
0,0,0,Shampoo,Seife,Spülung,Haare,3.2059,space,2.796763300000748,None,None,None,None,,,0,0,0,0,0,79,79,51,0,0,0,0,0,79,79,69,0,0,0,0,193.41135469999972,,,,,,,,,,,,,,,,,,,,,,,,,,130.86827619999985,130.8688401999998,130.9364986999999,130.93676200000027,130.94133359999978,130.94162070000039,130.97243809999964,130.97263980000025,130.97925029999988,130.98430129999997,130.98430129999997,133.78373370000008,space,2.796763300000748,None,133.78390219999983,133.79843640000036,133.79843640000036,181.38071039999977,None,181.38938859999962,181.39823760000036,181.39591706666695,182.59734930000013,191.3952266666668,192.39782509999986,193.39497010000014,Wind,3.2059,193.39615030000004,193.39696710000044,193.39977009999984,193.41135469999972,196.62801339999987,196.61258220000036,196.6165100999997,196.62801339999987,196.62801339999987,196.62801339999987,196.62801339999987,198.6280383000003,198.6280383000003,198.6280383000003,198.6280383000003,198.6125519999996,None,None,,,,,,,,,,,,,,,,,,,,,,4626,1,2025-05-21_18h49.54.569,sm,2024.2.4,59.904165316333255,2025-05-21 18h50.14.385115 +0200,
1,0,1,,,,,,space,2.796763300000748,None,None,3,None,1.0415616000000227,0.22494860000006156,0,0,0,0,,,,,0,0,0,0,,,,,1,0,1,0,198.6280383000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schlamm,2.4167,198.61302590000014,198.6136391,198.61374679999972,198.6280383000003,201.04462169999988,201.0289200999996,201.03345040000022,201.04462169999988,201.04462169999988,201.04462169999988,201.04462169999988,203.0443126,203.0443126,203.0443126,203.0443126,203.02884619999986,3,None,1.0415616000000227,0.22494860000006156,,,,,,,,,,,,,,,,,,,,4626,1,2025-05-21_18h49.54.569,sm,2024.2.4,59.904165316333255,2025-05-21 18h50.14.385115 +0200,
2,0,2,,,,,,space,2.796763300000748,None,None,2,None,0.9254968000004737,0.22909229999913805,0,0,0,0,,,,,0,0,0,0,,,,,2,0,2,0,203.0443126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agent,3.6297,203.02934710000045,203.0300115,203.03012490000037,203.0443126,206.67761489999975,206.66165749999982,206.66601960000025,206.67761489999975,206.67761489999975,206.67761489999975,206.67761489999975,208.67749470000035,208.67749470000035,208.67749470000035,208.67749470000035,208.66208089999964,2,None,0.9254968000004737,0.22909229999913805,,,,,,,,,,,,,,,,,,,,4626,1,2025-05-21_18h49.54.569,sm,2024.2.4,59.904165316333255,2025-05-21 18h50.14.385115 +0200,
3,0,3,,,,,,space,2.796763300000748,None,None,3,None,0.7842705000002752,0.23819129999992583,0,0,0,0,,,,,0,0,0,0,,,,,3,0,3,0,208.67749470000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sand,2.83,208.66258749999997,208.66308490000029,208.66319529999964,208.67749470000035,211.5102181000002,211.49485989999994,211.49790200000007,211.5102181000002,211.5102181000002,211.5102181000002,211.5102181000002,213.5104680000004,213.5104680000004,213.5104680000004,213.5104680000004,213.49514809999982,3,None,0.7842705000002752,0.23819129999992583,,,,,,,,,,,,,,,,,,,,4626,1,2025-05-21_18h49.54.569,sm,2024.2.4,59.904165316333255,2025-05-21 18h50.14.385115 +0200,
4,0,4,,,,,,space,2.796763300000748,None,None,2,None,0.7737784999999349,0.23239300000022922,0,0,0,0,,,,,0,0,0,0,,,,,4,0,4,0,213.5104680000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gesicht,2.3599,213.49564800000007,213.4961497000004,213.49625480000032,213.5104680000004,215.8768901000003,215.86134289999973,215.86567130000003,215.8768901000003,215.8768901000003,215.8768901000003,215.8768901000003,217.87694869999996,217.87694869999996,217.87694869999996,217.87694869999996,217.8618137000003,2,None,0.7737784999999349,0.23239300000022922,,,,,,,,,,,,,,,,,,,,4626,1,2025-05-21_18h49.54.569,sm,2024.2.4,59.904165316333255,2025-05-21 18h50.14.385115 +0200,
5,0,5,,,,,,space,2.796763300000748,None,None,3,None,0.8750723000002836,0.24134609999964596,0,0,0,0,,,,,0,0,0,0,,,,,5,0,5,0,217.87694869999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Käse,2.5519,217.86235899999974,217.86297579999973,217.86309129999972,217.87694869999996,220.4432127,220.42746950000037,220.43302180000046,220.4432127,220.4432127,220.4432127,220.4432127,222.44320979999975,222.44320979999975,222.44320979999975,222.44320979999975,222.4277892,3,None,0.8750723000002836,0.24134609999964596,,,,,,,,,,,,,,,,,,,,4626,1,2025-05-21_18h49.54.569,sm,2024.2.4,59.904165316333255,2025-05-21 18h50.14.385115 +0200,
